                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8197,                0.28502,                0.45772,                0.22037,                0.02452,                0.01692,                 0.0035,                 1.6143,                0.35533,                0.30708,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4343,                0.45969,                0.25658,                0.14611,                0.12283,                0.09915,                 0.0454,                 1.1893,                 0.5348,                0.17848,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2356,                0.53416,                0.18538,                0.24686,                 0.1413,                0.13472,                0.06913,                 1.0984,                0.55539,                0.16025,                 0.0001,                 0.0001,                 0.0001
                      4,                  1.161,                0.54596,                0.16108,                0.28003,                0.19672,                0.17151,                0.08847,                 1.0298,                0.56001,                0.13746,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1086,                0.55097,                0.14578,                0.33094,                0.21768,                0.19896,                0.10655,                0.99142,                0.56405,                0.13035,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0725,                0.55325,                0.13672,                0.33234,                0.23308,                0.21436,                0.11678,                0.96097,                0.56294,                0.12187,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0453,                0.55508,                0.13018,                0.34907,                0.24605,                0.22806,                0.12571,                0.92272,                0.56909,                0.11251,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0263,                0.55356,                0.12391,                0.37344,                0.26035,                0.24292,                0.13613,                0.90423,                0.56949,                0.10872,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0022,                0.55476,                0.12014,                0.38313,                0.27072,                0.25258,                0.14239,                 0.8866,                0.56968,                0.10546,                 0.0001,                 0.0001,                 0.0001
                     10,                0.98612,                0.55501,                0.11558,                0.39313,                0.27848,                0.26468,                0.14997,                0.87531,                0.56893,                0.10368,                 0.0001,                 0.0001,                 0.0001
