                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8606,                0.27357,                0.48633,                0.24741,                0.03144,                0.02661,                0.00626,                 1.6366,                0.37162,                0.34483,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4562,                0.45774,                0.27021,                0.15213,                0.11449,                0.09695,                0.04243,                 1.2536,                0.52416,                 0.2092,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2662,                0.53221,                0.19571,                0.23023,                0.14435,                0.13124,                  0.066,                 1.1394,                0.54995,                0.17181,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1977,                0.54151,                0.17143,                0.25548,                0.17896,                0.15437,                0.07721,                  1.085,                  0.554,                0.15253,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1529,                0.54338,                0.15918,                0.29248,                0.20113,                0.18022,                0.09365,                 1.0403,                0.55687,                0.14412,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.1175,                0.54617,                0.15023,                 0.3205,                0.22042,                0.19824,                0.10685,                 1.0084,                0.55628,                0.13655,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0921,                0.54659,                0.14267,                0.33359,                0.23969,                0.21717,                0.11858,                   0.98,                0.56046,                0.12848,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0734,                0.54432,                0.13647,                0.35059,                 0.2484,                0.22854,                0.12492,                0.95825,                0.56071,                0.12334,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0553,                0.54587,                0.13358,                0.36707,                0.25964,                0.23946,                0.13146,                0.94119,                0.56101,                0.11983,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0365,                 0.5464,                0.12761,                0.37251,                0.26557,                0.24886,                0.13712,                 0.9284,                0.56267,                0.11746,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.0219,                0.54596,                 0.1254,                 0.3887,                0.27174,                0.25853,                0.14408,                0.91918,                0.56243,                0.11573,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.0031,                0.54848,                0.12147,                0.39574,                0.27339,                0.26458,                0.14826,                0.91233,                0.56222,                0.11394,                 0.0001,                 0.0001,                 0.0001
                     13,                0.99429,                0.54703,                0.11704,                 0.3998,                0.28083,                0.27009,                0.15155,                0.90513,                0.56289,                0.11236,                 0.0001,                 0.0001,                 0.0001
                     14,                 0.9868,                0.54438,                 0.1177,                0.40975,                0.28401,                0.27501,                0.15426,                0.90023,                0.56222,                0.11109,                 0.0001,                 0.0001,                 0.0001
                     15,                0.97176,                0.54621,                0.11343,                0.41057,                  0.287,                0.27907,                0.15725,                0.89424,                0.56309,                0.10966,                 0.0001,                 0.0001,                 0.0001
                     16,                0.96271,                0.54497,                 0.1119,                0.41522,                0.29361,                0.28553,                0.16118,                0.88853,                 0.5627,                0.10897,                 0.0001,                 0.0001,                 0.0001
                     17,                0.95226,                0.54616,                0.10983,                0.41631,                0.29644,                0.28936,                0.16373,                0.88183,                0.56286,                0.10808,                 0.0001,                 0.0001,                 0.0001
                     18,                0.94148,                0.54565,                0.10714,                 0.4195,                0.29778,                0.29278,                0.16649,                 0.8755,                0.56341,                0.10738,                 0.0001,                 0.0001,                 0.0001
                     19,                0.93689,                0.54434,                 0.1055,                0.42325,                0.30688,                0.29972,                0.17098,                0.86841,                0.56385,                0.10561,                 0.0001,                 0.0001,                 0.0001
                     20,                0.93337,                 0.5431,                0.10475,                 0.4258,                0.31035,                0.30499,                0.17467,                0.86274,                0.56348,                0.10446,                 0.0001,                 0.0001,                 0.0001
                     21,                0.92352,                0.54369,                0.10421,                 0.4302,                 0.3131,                0.30793,                0.17725,                0.85443,                 0.5636,                0.10307,                 0.0001,                 0.0001,                 0.0001
                     22,                0.92232,                0.54177,                0.10375,                0.43267,                0.31518,                0.31159,                0.17977,                0.84841,                0.56347,                0.10193,                 0.0001,                 0.0001,                 0.0001
                     23,                0.91164,                0.54245,                0.10137,                0.43543,                0.31872,                0.31489,                  0.182,                0.84197,                0.56377,                0.10109,                 0.0001,                 0.0001,                 0.0001
                     24,                0.90614,                0.54048,                0.10021,                0.44429,                0.32313,                0.31948,                0.18494,                0.83582,                0.56371,                 0.0994,                 0.0001,                 0.0001,                 0.0001
                     25,                0.90846,                0.53927,                0.09927,                0.45133,                0.32854,                0.32417,                0.18766,                0.83023,                 0.5631,                0.09834,                 0.0001,                 0.0001,                 0.0001
                     26,                0.89851,                0.54047,                0.09704,                0.45642,                0.32921,                0.32757,                0.18983,                0.82456,                0.56342,                0.09727,                 0.0001,                 0.0001,                 0.0001
                     27,                0.89159,                0.53957,                0.09679,                0.46418,                0.33213,                0.33304,                0.19296,                0.81918,                0.56363,                0.09645,                 0.0001,                 0.0001,                 0.0001
                     28,                 0.8886,                0.53907,                0.09703,                0.46925,                0.33743,                0.33671,                0.19511,                0.81397,                0.56345,                0.09531,                 0.0001,                 0.0001,                 0.0001
                     29,                0.88512,                0.53705,                0.09501,                 0.4682,                0.34149,                0.34166,                0.19846,                0.80894,                0.56366,                0.09461,                 0.0001,                 0.0001,                 0.0001
                     30,                0.88155,                0.53838,                0.09446,                0.47897,                0.34161,                0.34483,                0.20001,                0.80486,                0.56283,                0.09394,                 0.0001,                 0.0001,                 0.0001
                     31,                0.87401,                0.53755,                0.09348,                0.48264,                0.34418,                0.34858,                0.20225,                0.80004,                0.56163,                  0.093,                 0.0001,                 0.0001,                 0.0001
                     32,                0.87221,                0.53755,                0.09322,                0.48766,                0.34656,                0.35184,                0.20435,                0.79526,                0.56094,                0.09252,                 0.0001,                 0.0001,                 0.0001
                     33,                0.87085,                0.53543,                0.09137,                0.48758,                0.35088,                0.35477,                0.20615,                0.79074,                0.56081,                0.09176,                 0.0001,                 0.0001,                 0.0001
                     34,                0.86502,                 0.5359,                0.09154,                0.49649,                0.35093,                0.35877,                0.20814,                0.78675,                0.56055,                0.09148,                 0.0001,                 0.0001,                 0.0001
                     35,                 0.8585,                0.53558,                0.09101,                0.50307,                0.35375,                0.36288,                0.21072,                0.78226,                0.55992,                0.09024,                 0.0001,                 0.0001,                 0.0001
                     36,                0.85608,                0.53414,                0.08972,                0.50142,                0.35889,                0.36586,                0.21285,                0.77898,                0.55922,                0.08944,                 0.0001,                 0.0001,                 0.0001
                     37,                0.86115,                0.53235,                0.09066,                0.50634,                0.35955,                0.36836,                0.21443,                0.77587,                0.55922,                0.08863,                 0.0001,                 0.0001,                 0.0001
                     38,                0.85115,                0.53213,                0.08898,                 0.5038,                0.36289,                0.37099,                0.21632,                0.77242,                0.55903,                0.08808,                 0.0001,                 0.0001,                 0.0001
                     39,                0.85116,                 0.5323,                0.08894,                0.50493,                 0.3671,                0.37418,                0.21873,                0.76987,                0.55815,                0.08754,                 0.0001,                 0.0001,                 0.0001
                     40,                0.84754,                0.53209,                0.08822,                0.51025,                0.36869,                  0.376,                0.21979,                0.76798,                0.55718,                0.08731,                 0.0001,                 0.0001,                 0.0001
                     41,                0.84264,                0.53209,                 0.0876,                0.51031,                0.37334,                0.37883,                0.22218,                0.76573,                0.55722,                0.08717,                 0.0001,                 0.0001,                 0.0001
                     42,                0.84233,                0.52951,                0.08721,                0.51318,                 0.3752,                0.38068,                0.22332,                0.76284,                0.55672,                0.08666,                 0.0001,                 0.0001,                 0.0001
                     43,                0.83573,                0.53065,                0.08551,                0.51472,                0.37533,                0.38168,                0.22403,                0.76039,                0.55656,                0.08587,                 0.0001,                 0.0001,                 0.0001
                     44,                0.83494,                0.52972,                0.08566,                0.51757,                 0.3774,                0.38321,                0.22515,                 0.7578,                0.55574,                0.08543,                 0.0001,                 0.0001,                 0.0001
                     45,                 0.8359,                0.53072,                0.08623,                0.52168,                0.38005,                0.38633,                0.22656,                0.75426,                0.55573,                0.08502,                 0.0001,                 0.0001,                 0.0001
                     46,                0.83563,                0.52792,                0.08621,                0.52501,                0.37891,                0.38828,                0.22797,                0.75202,                0.55541,                0.08447,                 0.0001,                 0.0001,                 0.0001
                     47,                 0.8351,                0.52815,                0.08581,                 0.5251,                0.38014,                0.39026,                0.22895,                0.74953,                0.55518,                0.08419,                 0.0001,                 0.0001,                 0.0001
                     48,                0.82569,                0.53063,                 0.0854,                0.53114,                0.38578,                0.39402,                0.23136,                0.74728,                0.55455,                0.08353,                 0.0001,                 0.0001,                 0.0001
                     49,                0.82526,                0.52824,                0.08343,                0.53428,                0.38794,                0.39619,                0.23268,                0.74621,                0.55391,                0.08344,                 0.0001,                 0.0001,                 0.0001
                     50,                0.82381,                0.52873,                0.08442,                0.53613,                0.38946,                0.39783,                0.23409,                0.74358,                0.55363,                0.08242,                 0.0001,                 0.0001,                 0.0001
                     51,                0.82164,                0.52755,                0.08298,                0.53597,                0.39191,                0.40013,                0.23526,                0.74079,                0.55341,                0.08198,                 0.0001,                 0.0001,                 0.0001
                     52,                0.82288,                0.52784,                0.08312,                0.53431,                0.39489,                0.40123,                  0.236,                0.73918,                0.55351,                0.08145,                 0.0001,                 0.0001,                 0.0001
                     53,                0.82173,                0.52731,                0.08344,                0.53533,                0.39336,                0.40168,                0.23683,                0.73745,                0.55313,                0.08072,                 0.0001,                 0.0001,                 0.0001
                     54,                0.81746,                0.52598,                0.08138,                0.53824,                0.39644,                0.40448,                0.23848,                0.73543,                0.55338,                0.08072,                 0.0001,                 0.0001,                 0.0001
                     55,                0.81484,                0.52613,                0.08112,                0.54483,                0.39647,                0.40674,                0.23967,                0.73363,                0.55361,                0.08008,                 0.0001,                 0.0001,                 0.0001
                     56,                0.81207,                 0.5257,                0.08034,                0.54581,                0.39573,                0.40737,                0.24029,                0.73213,                0.55312,                0.07972,                 0.0001,                 0.0001,                 0.0001
                     57,                0.81021,                0.52475,                0.08099,                0.54566,                0.40066,                0.40984,                0.24185,                0.73159,                0.55266,                0.07956,                 0.0001,                 0.0001,                 0.0001
                     58,                0.80726,                0.52681,                0.08061,                0.54646,                 0.4051,                 0.4117,                0.24262,                0.73081,                0.55228,                0.07933,                 0.0001,                 0.0001,                 0.0001
                     59,                0.80682,                0.52577,                0.08066,                0.54823,                0.40428,                 0.4137,                0.24388,                0.72858,                0.55218,                0.07869,                 0.0001,                 0.0001,                 0.0001
                     60,                 0.8022,                0.52574,                0.07962,                0.54877,                0.40334,                0.41335,                0.24367,                 0.7272,                0.55203,                0.07837,                 0.0001,                 0.0001,                 0.0001
                     61,                0.80254,                0.52576,                 0.0801,                0.55402,                0.40139,                0.41386,                0.24415,                0.72544,                0.55251,                0.07778,                 0.0001,                 0.0001,                 0.0001
                     62,                0.80539,                0.52512,                0.07972,                0.55179,                0.40199,                0.41511,                0.24488,                 0.7238,                0.55254,                0.07753,                 0.0001,                 0.0001,                 0.0001
                     63,                 0.8014,                0.52443,                0.07972,                0.54764,                0.40577,                0.41725,                0.24585,                 0.7227,                0.55284,                0.07745,                 0.0001,                 0.0001,                 0.0001
                     64,                 0.7999,                0.52502,                0.07887,                0.55255,                  0.408,                 0.4196,                0.24728,                0.72158,                0.55205,                0.07721,                 0.0001,                 0.0001,                 0.0001
                     65,                0.79766,                0.52446,                0.07908,                0.55368,                0.41042,                  0.421,                0.24812,                 0.7198,                0.55255,                0.07706,                 0.0001,                 0.0001,                 0.0001
