                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8683,                0.26971,                0.48519,                0.21287,                0.02738,                0.01547,                0.00345,                 1.7268,                0.32419,                 0.3907,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4662,                0.44983,                0.27248,                 0.2273,                0.12028,                0.08934,                 0.0411,                 1.2294,                0.54831,                0.19266,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2425,                0.54938,                0.19217,                0.45354,                0.13893,                0.14978,                0.07819,                 1.1012,                0.56897,                0.16246,                 0.0001,                 0.0001,                 0.0001
                      4,                  1.158,                0.56232,                 0.1625,                0.27468,                0.18462,                0.16361,                0.08841,                 1.0381,                0.57326,                0.14155,                 0.0001,                 0.0001,                 0.0001
                      5,                  1.102,                0.56391,                0.14632,                0.31157,                0.20154,                0.18286,                  0.101,                0.97545,                0.58041,                0.12979,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0661,                0.56326,                0.13751,                0.34024,                0.23249,                0.21534,                 0.1195,                0.94272,                0.57492,                0.11924,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0398,                0.56296,                0.13066,                0.36604,                 0.2442,                0.23166,                0.13058,                0.91889,                  0.577,                0.11514,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0181,                0.56122,                0.12332,                0.38225,                0.25292,                 0.2441,                0.13831,                0.89113,                0.57693,                0.10869,                 0.0001,                 0.0001,                 0.0001
                      9,                0.99952,                0.56001,                 0.1211,                0.39019,                0.26591,                0.25623,                0.14566,                0.87675,                0.57611,                0.10552,                 0.0001,                 0.0001,                 0.0001
                     10,                0.98076,                0.55945,                0.11577,                0.39609,                0.27783,                0.26543,                0.15198,                0.86503,                0.57634,                0.10272,                 0.0001,                 0.0001,                 0.0001
                     11,                0.97016,                0.55726,                0.11358,                0.40249,                0.28613,                0.27379,                0.15779,                0.85718,                0.57668,                0.10152,                 0.0001,                 0.0001,                 0.0001
                     12,                0.95112,                0.55968,                0.11022,                0.41005,                0.28831,                0.27808,                  0.161,                0.85218,                0.57671,                 0.1008,                 0.0001,                 0.0001,                 0.0001
                     13,                0.94509,                0.55785,                0.10716,                0.41941,                0.28823,                0.28304,                0.16457,                0.84662,                0.57574,                0.09954,                 0.0001,                 0.0001,                 0.0001
                     14,                0.93564,                 0.5562,                0.10722,                0.42948,                0.29125,                0.28744,                0.16765,                0.84156,                0.57508,                0.09845,                 0.0001,                 0.0001,                 0.0001
                     15,                0.91878,                0.55675,                0.10274,                0.42942,                0.29693,                0.29235,                0.17064,                0.83555,                0.57535,                0.09727,                 0.0001,                 0.0001,                 0.0001
                     16,                0.91123,                0.55721,                0.10128,                0.43212,                0.29967,                0.29705,                 0.1742,                0.83022,                0.57573,                0.09631,                 0.0001,                 0.0001,                 0.0001
                     17,                0.90154,                 0.5552,                0.10045,                0.43707,                0.30321,                0.30184,                 0.1774,                0.82483,                0.57567,                0.09536,                 0.0001,                 0.0001,                 0.0001
                     18,                0.89368,                0.55521,                 0.0982,                0.43478,                0.30674,                0.30516,                0.17987,                   0.82,                0.57498,                0.09484,                 0.0001,                 0.0001,                 0.0001
                     19,                0.88975,                0.55421,                0.09683,                 0.4527,                0.30573,                 0.3117,                0.18439,                0.81328,                0.57472,                0.09335,                 0.0001,                 0.0001,                 0.0001
                     20,                0.88623,                0.55368,                0.09583,                 0.4478,                0.31272,                0.31471,                0.18679,                0.80784,                0.57431,                0.09229,                 0.0001,                 0.0001,                 0.0001
                     21,                0.87718,                0.55363,                0.09578,                0.45284,                0.31597,                0.31881,                0.18956,                0.80206,                 0.5738,                0.09133,                 0.0001,                 0.0001,                 0.0001
                     22,                0.87332,                0.55246,                 0.0941,                0.45602,                0.31689,                0.32298,                0.19223,                0.79659,                0.57408,                0.09068,                 0.0001,                 0.0001,                 0.0001
                     23,                 0.8662,                0.55268,                 0.0933,                0.45765,                0.32133,                0.32703,                 0.1953,                0.79144,                0.57328,                0.08969,                 0.0001,                 0.0001,                 0.0001
                     24,                0.86255,                 0.5501,                0.09216,                0.46389,                0.32639,                0.33252,                0.19887,                 0.7865,                0.57285,                0.08876,                 0.0001,                 0.0001,                 0.0001
                     25,                0.86206,                0.54989,                0.09112,                0.46899,                0.33232,                0.33737,                0.20173,                0.78019,                0.57296,                0.08753,                 0.0001,                 0.0001,                 0.0001
                     26,                0.85032,                0.55171,                0.08907,                0.47293,                0.33775,                0.34184,                0.20412,                 0.7748,                0.57252,                0.08655,                 0.0001,                 0.0001,                 0.0001
                     27,                0.84595,                0.55037,                0.08878,                0.47736,                0.33885,                0.34664,                0.20781,                0.76993,                0.57198,                0.08561,                 0.0001,                 0.0001,                 0.0001
                     28,                0.84056,                0.54805,                0.08852,                0.47835,                0.34465,                0.35094,                0.21057,                0.76615,                0.57134,                0.08505,                 0.0001,                 0.0001,                 0.0001
                     29,                0.83957,                0.54804,                0.08721,                0.48091,                0.34753,                0.35365,                0.21227,                0.76261,                0.57042,                0.08437,                 0.0001,                 0.0001,                 0.0001
                     30,                0.84006,                0.54683,                0.08735,                0.48489,                 0.3527,                0.35881,                0.21509,                0.75939,                0.56946,                0.08389,                 0.0001,                 0.0001,                 0.0001
                     31,                0.82902,                0.54661,                0.08612,                0.49154,                 0.3527,                0.36148,                0.21681,                 0.7551,                0.56905,                0.08315,                 0.0001,                 0.0001,                 0.0001
                     32,                0.82915,                0.54711,                0.08599,                0.50253,                0.35449,                 0.3657,                 0.2192,                0.75103,                0.56924,                 0.0825,                 0.0001,                 0.0001,                 0.0001
                     33,                0.82684,                0.54576,                0.08426,                0.50355,                0.35924,                0.36871,                0.22094,                0.74755,                0.56821,                0.08223,                 0.0001,                 0.0001,                 0.0001
                     34,                0.82035,                0.54471,                0.08429,                0.50848,                0.36138,                0.37229,                0.22378,                0.74451,                0.56727,                0.08172,                 0.0001,                 0.0001,                 0.0001
                     35,                0.81407,                0.54578,                0.08314,                0.51248,                0.36347,                0.37438,                0.22484,                0.74163,                0.56704,                0.08145,                 0.0001,                 0.0001,                 0.0001
                     36,                0.81536,                0.54459,                0.08297,                0.51679,                0.36598,                0.37873,                0.22768,                0.73911,                0.56626,                0.08098,                 0.0001,                 0.0001,                 0.0001
                     37,                0.81908,                0.54137,                0.08409,                0.51851,                0.37128,                0.38163,                 0.2298,                0.73634,                0.56525,                0.08036,                 0.0001,                 0.0001,                 0.0001
                     38,                0.80839,                0.54216,                0.08176,                0.51716,                0.37281,                0.38321,                0.23088,                0.73525,                0.56438,                0.08019,                 0.0001,                 0.0001,                 0.0001
                     39,                0.80931,                0.54211,                0.08277,                0.52317,                0.37199,                0.38562,                0.23221,                0.73336,                0.56421,                0.07957,                 0.0001,                 0.0001,                 0.0001
                     40,                0.80582,                0.54158,                0.08144,                0.53248,                0.37359,                0.38826,                0.23383,                0.73015,                0.56345,                0.07915,                 0.0001,                 0.0001,                 0.0001
                     41,                0.80109,                 0.5421,                0.08105,                0.53467,                0.37583,                0.39054,                0.23513,                0.72846,                0.56303,                0.07889,                 0.0001,                 0.0001,                 0.0001
                     42,                0.80041,                0.53881,                0.08052,                0.53817,                0.38037,                0.39326,                0.23689,                0.72539,                0.56262,                0.07819,                 0.0001,                 0.0001,                 0.0001
                     43,                0.79851,                0.53866,                0.07964,                0.53863,                 0.3829,                0.39638,                 0.2388,                0.72373,                0.56218,                0.07809,                 0.0001,                 0.0001,                 0.0001
                     44,                0.79689,                0.53833,                0.07977,                0.53897,                0.38213,                0.39735,                 0.2392,                0.72113,                0.56214,                 0.0776,                 0.0001,                 0.0001,                 0.0001
                     45,                0.79549,                0.53862,                0.08015,                0.54021,                  0.385,                0.39977,                0.24076,                0.71969,                0.56153,                0.07718,                 0.0001,                 0.0001,                 0.0001
                     46,                0.79691,                0.53598,                0.07963,                0.53932,                0.38869,                0.40152,                0.24186,                0.71845,                0.56054,                0.07665,                 0.0001,                 0.0001,                 0.0001
                     47,                0.79426,                0.53754,                0.07963,                0.54177,                0.39011,                0.40361,                0.24308,                0.71648,                0.56009,                0.07632,                 0.0001,                 0.0001,                 0.0001
                     48,                0.78478,                0.54063,                0.07861,                0.54838,                0.39146,                0.40611,                0.24468,                0.71461,                0.56049,                0.07615,                 0.0001,                 0.0001,                 0.0001
                     49,                0.78665,                0.53543,                 0.0779,                0.54691,                0.39285,                0.40636,                0.24513,                0.71142,                0.56098,                0.07557,                 0.0001,                 0.0001,                 0.0001
                     50,                0.78475,                0.53718,                0.07876,                0.55272,                0.39526,                0.40751,                 0.2458,                0.70964,                 0.5609,                0.07524,                 0.0001,                 0.0001,                 0.0001
                     51,                0.78459,                0.53551,                0.07745,                0.55567,                0.39679,                0.41012,                0.24704,                0.70794,                 0.5605,                0.07517,                 0.0001,                 0.0001,                 0.0001
                     52,                0.78532,                0.53462,                0.07749,                 0.5585,                0.39804,                0.41179,                0.24829,                0.70653,                0.56024,                0.07483,                 0.0001,                 0.0001,                 0.0001
                     53,                0.78281,                0.53497,                0.07764,                 0.5606,                0.39961,                0.41379,                 0.2496,                0.70501,                0.55996,                0.07456,                 0.0001,                 0.0001,                 0.0001
