                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8281,                0.27666,                0.46785,                0.12176,                 0.0229,                0.01768,                0.00305,                 1.6571,                0.33211,                0.33971,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4457,                0.44852,                0.26261,                0.24776,                0.12765,                0.09555,                0.04415,                 1.2029,                0.54939,                0.18462,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2252,                0.54892,                0.18347,                0.39731,                0.14362,                0.13459,                0.07173,                 1.1126,                0.56373,                0.15853,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1455,                0.56028,                0.15803,                0.26832,                0.17786,                0.16435,                0.08615,                 1.0409,                0.56654,                0.13793,                 0.0001,                 0.0001,                 0.0001
                      5,                  1.099,                0.56019,                0.14521,                0.31306,                0.20541,                0.18889,                0.10346,                0.97728,                0.57581,                0.12844,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0585,                0.56297,                 0.1348,                0.34026,                0.22808,                0.21097,                0.11765,                0.95251,                0.56857,                0.12217,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0339,                0.56267,                0.12968,                0.35229,                0.24151,                0.22601,                0.12652,                0.92509,                0.57048,                0.11701,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0143,                0.55909,                0.12242,                0.36725,                0.25492,                0.23852,                0.13553,                0.89718,                0.57246,                 0.1102,                 0.0001,                 0.0001,                 0.0001
                      9,                0.99094,                0.56046,                 0.1192,                0.37372,                0.26585,                0.25037,                0.14386,                0.88036,                0.57181,                0.10745,                 0.0001,                 0.0001,                 0.0001
                     10,                0.97488,                 0.5597,                 0.1144,                0.38926,                0.27624,                0.25828,                0.14918,                0.86893,                0.57254,                0.10473,                 0.0001,                 0.0001,                 0.0001
                     11,                0.96208,                0.55863,                0.11172,                0.39644,                0.27742,                0.26475,                0.15336,                0.86286,                0.57095,                0.10397,                 0.0001,                 0.0001,                 0.0001
                     12,                0.94477,                0.56008,                0.10852,                0.40156,                0.27857,                0.26919,                0.15665,                0.85417,                0.57141,                 0.1022,                 0.0001,                 0.0001,                 0.0001
                     13,                 0.9373,                0.55822,                0.10505,                0.40276,                0.28471,                0.27371,                0.15964,                0.84906,                0.57003,                0.10092,                 0.0001,                 0.0001,                 0.0001
                     14,                0.92595,                0.55648,                0.10398,                0.40908,                0.28762,                0.28048,                 0.1643,                0.84175,                 0.5698,                0.09943,                 0.0001,                 0.0001,                 0.0001
                     15,                 0.9132,                0.55646,                0.10147,                 0.4125,                0.29135,                0.28441,                0.16701,                0.83612,                0.57082,                0.09835,                 0.0001,                 0.0001,                 0.0001
                     16,                0.90248,                0.55526,                0.09933,                0.42078,                0.29365,                0.28818,                0.16939,                0.83018,                0.57016,                0.09717,                 0.0001,                 0.0001,                 0.0001
                     17,                 0.8929,                0.55691,                 0.0983,                0.43476,                0.29775,                0.29438,                0.17396,                0.82286,                 0.5702,                0.09563,                 0.0001,                 0.0001,                 0.0001
                     18,                0.88368,                0.55552,                0.09527,                0.43413,                0.30094,                0.29897,                0.17733,                0.81685,                0.56903,                 0.0947,                 0.0001,                 0.0001,                 0.0001
                     19,                0.87864,                 0.5541,                0.09414,                0.43982,                0.30763,                0.30552,                0.18129,                0.81056,                0.56843,                0.09316,                 0.0001,                 0.0001,                 0.0001
                     20,                0.87777,                0.55302,                0.09393,                0.44826,                0.31013,                0.31073,                0.18512,                0.80317,                0.56844,                0.09165,                 0.0001,                 0.0001,                 0.0001
                     21,                0.86226,                 0.5544,                0.09182,                0.45131,                0.31462,                0.31582,                0.18851,                0.79618,                0.56809,                0.09068,                 0.0001,                 0.0001,                 0.0001
                     22,                0.86201,                0.55338,                0.09154,                0.45027,                 0.3176,                0.32111,                0.19257,                0.79156,                0.56726,                0.08987,                 0.0001,                 0.0001,                 0.0001
                     23,                0.85269,                0.55255,                0.08995,                0.46112,                0.32499,                0.32892,                0.19719,                0.78501,                0.56692,                0.08872,                 0.0001,                 0.0001,                 0.0001
                     24,                0.85132,                0.54872,                0.08941,                0.46651,                0.32624,                0.33215,                0.19947,                 0.7794,                0.56679,                0.08767,                 0.0001,                 0.0001,                 0.0001
                     25,                0.84726,                0.54996,                0.08805,                0.46979,                0.33295,                0.33828,                0.20352,                0.77414,                0.56682,                0.08706,                 0.0001,                 0.0001,                 0.0001
