                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8802,                0.26037,                0.49898,                0.31396,                0.02432,                0.01868,                0.00345,                 1.6885,                0.31932,                0.38406,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4985,                0.43374,                0.28369,                0.20378,                0.10575,                0.07458,                0.03309,                 1.3069,                0.53073,                 0.2091,                 0.0001,                 0.0001,                 0.0001
                      3,                  1.285,                0.53904,                0.20506,                0.25633,                0.12847,                0.10535,                0.05489,                 1.1439,                0.56126,                0.17526,                 0.0001,                 0.0001,                 0.0001
                      4,                  1.186,                 0.5544,                0.17166,                0.25902,                0.18266,                0.15829,                 0.0822,                 1.0562,                0.56987,                0.14605,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1343,                0.55402,                0.15522,                0.34502,                0.19745,                0.18748,                0.10086,                 1.0045,                0.56795,                 0.1325,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0917,                0.55658,                0.14419,                0.34172,                0.22708,                0.20851,                0.11574,                  0.979,                0.56334,                0.12777,                 0.0001,                 0.0001,                 0.0001
                      7,                  1.065,                0.55414,                0.13634,                0.34607,                0.24287,                0.22616,                  0.126,                 0.9384,                0.56772,                0.11913,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0441,                0.55342,                0.13026,                0.37071,                0.25542,                0.23533,                0.13237,                0.92107,                0.56789,                0.11593,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0263,                0.55277,                 0.1276,                0.38802,                0.26647,                 0.2479,                 0.1399,                0.90124,                0.56945,                0.11178,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0048,                0.55332,                0.12083,                0.39694,                0.27533,                0.25862,                0.14638,                0.89124,                0.56895,                0.10954,                 0.0001,                 0.0001,                 0.0001
                     11,                0.99317,                0.55169,                 0.1192,                0.39321,                0.28089,                0.26558,                 0.1516,                0.88283,                0.56886,                0.10804,                 0.0001,                 0.0001,                 0.0001
                     12,                0.97451,                0.55404,                0.11579,                0.40226,                0.28612,                0.27122,                0.15478,                0.87575,                0.56873,                0.10626,                 0.0001,                 0.0001,                 0.0001
