                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8693,                0.26543,                0.49991,                0.41722,                0.02157,                0.02666,                0.00688,                  1.745,                0.30524,                0.46581,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4301,                0.46335,                  0.259,                0.15018,                0.12625,                0.10138,                0.04608,                 1.2066,                0.53088,                0.19729,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2509,                0.53263,                0.19071,                0.32663,                0.14467,                0.13196,                0.06614,                 1.1355,                0.54897,                0.17147,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1731,                0.54201,                0.16513,                0.25058,                0.19059,                0.16818,                0.08696,                 1.0466,                0.55957,                0.14182,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1279,                0.54376,                 0.1524,                0.32043,                0.21781,                0.20309,                0.10643,                 1.0016,                 0.5611,                0.13337,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0906,                 0.5463,                0.14245,                0.35014,                0.23486,                0.21514,                0.11388,                 0.9729,                0.55707,                0.12639,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0671,                0.54618,                0.13655,                0.36068,                0.24899,                0.23406,                0.12709,                0.94059,                0.56044,                0.11973,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0482,                0.54402,                0.12964,                0.36458,                0.26026,                0.24317,                0.13339,                0.91539,                0.56305,                0.11363,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0277,                0.54455,                0.12557,                 0.3983,                0.26606,                0.25525,                0.14099,                0.90053,                0.56279,                0.10993,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0126,                0.54291,                 0.1217,                0.39943,                0.27263,                0.26299,                0.14522,                0.89151,                0.56288,                0.10823,                 0.0001,                 0.0001,                 0.0001
                     11,                0.99727,                0.54343,                0.11807,                0.40922,                0.27842,                0.27054,                0.15052,                0.88316,                0.56315,                0.10673,                 0.0001,                 0.0001,                 0.0001
                     12,                0.98036,                0.54572,                0.11501,                0.40867,                0.28447,                0.27644,                0.15492,                0.87635,                0.56313,                0.10561,                 0.0001,                 0.0001,                 0.0001
                     13,                0.97239,                0.54564,                0.11155,                0.41695,                 0.2874,                0.28186,                0.15837,                0.86909,                0.56373,                0.10437,                 0.0001,                 0.0001,                 0.0001
                     14,                0.96156,                0.54498,                0.11104,                0.41873,                0.29223,                0.28679,                0.16113,                0.86453,                0.56385,                 0.1034,                 0.0001,                 0.0001,                 0.0001
                     15,                0.95064,                0.54356,                0.10823,                0.43234,                0.29537,                 0.2924,                0.16462,                0.85894,                0.56353,                0.10235,                 0.0001,                 0.0001,                 0.0001
                     16,                0.93895,                0.54365,                0.10581,                0.43569,                0.29902,                0.29681,                0.16718,                0.85331,                0.56391,                 0.1012,                 0.0001,                 0.0001,                 0.0001
                     17,                0.92839,                0.54445,                0.10394,                0.43641,                 0.3044,                0.30188,                0.17035,                 0.8467,                0.56436,                0.09997,                 0.0001,                 0.0001,                 0.0001
                     18,                0.92113,                0.54464,                0.10199,                0.44243,                0.30736,                0.30621,                0.17282,                0.84264,                0.56355,                0.09995,                 0.0001,                 0.0001,                 0.0001
                     19,                0.91555,                0.54247,                0.10056,                0.44484,                0.31468,                0.31224,                0.17715,                0.83715,                0.56277,                0.09864,                 0.0001,                 0.0001,                 0.0001
                     20,                0.91348,                0.54154,                0.09958,                0.44966,                0.32083,                0.31895,                0.18192,                0.83264,                0.56236,                0.09786,                 0.0001,                 0.0001,                 0.0001
                     21,                0.90179,                0.54123,                0.09901,                0.45657,                 0.3261,                0.32497,                0.18643,                0.82643,                0.56155,                0.09671,                 0.0001,                 0.0001,                 0.0001
                     22,                0.90154,                0.54016,                0.09798,                0.45253,                0.33024,                0.32825,                0.18807,                0.82138,                0.56064,                0.09566,                 0.0001,                 0.0001,                 0.0001
                     23,                 0.8892,                0.54058,                0.09574,                0.45588,                0.33382,                0.33341,                0.19192,                0.81629,                0.55972,                0.09467,                 0.0001,                 0.0001,                 0.0001
                     24,                0.88718,                0.53727,                0.09545,                 0.4659,                0.33533,                0.33736,                0.19487,                0.81084,                0.55961,                0.09351,                 0.0001,                 0.0001,                 0.0001
                     25,                0.88815,                0.53678,                0.09492,                0.47654,                0.33688,                0.34217,                0.19794,                0.80477,                0.55892,                0.09211,                 0.0001,                 0.0001,                 0.0001
                     26,                0.87946,                0.53739,                0.09342,                0.48128,                0.33969,                0.34605,                0.20037,                0.80002,                0.55858,                0.09081,                 0.0001,                 0.0001,                 0.0001
                     27,                0.87463,                0.53725,                0.09256,                 0.4809,                0.34373,                0.34823,                0.20192,                0.79612,                0.55815,                 0.0905,                 0.0001,                 0.0001,                 0.0001
                     28,                0.86543,                0.53842,                0.09178,                0.48951,                0.34616,                0.35159,                0.20414,                 0.7907,                0.55857,                0.08967,                 0.0001,                 0.0001,                 0.0001
                     29,                0.86338,                0.53698,                0.09002,                0.49306,                0.34963,                0.35484,                0.20591,                0.78622,                0.55756,                0.08892,                 0.0001,                 0.0001,                 0.0001
                     30,                0.86124,                0.53613,                0.08991,                0.49616,                0.35311,                0.35836,                0.20852,                0.78167,                0.55748,                0.08813,                 0.0001,                 0.0001,                 0.0001
                     31,                0.85261,                0.53658,                0.08883,                0.49927,                0.35725,                 0.3617,                0.21038,                0.77864,                0.55683,                0.08772,                 0.0001,                 0.0001,                 0.0001
                     32,                 0.8525,                 0.5353,                0.08878,                0.50241,                0.35609,                  0.364,                0.21201,                0.77533,                 0.5563,                0.08736,                 0.0001,                 0.0001,                 0.0001
                     33,                0.85174,                0.53479,                0.08755,                0.50816,                0.35707,                0.36732,                0.21414,                0.77083,                0.55658,                0.08656,                 0.0001,                 0.0001,                 0.0001
                     34,                0.84475,                0.53483,                  0.087,                0.50954,                 0.3643,                 0.3715,                0.21677,                0.76757,                0.55658,                0.08624,                 0.0001,                 0.0001,                 0.0001
                     35,                0.83784,                0.53526,                0.08611,                0.51456,                0.36336,                 0.3734,                0.21774,                0.76334,                0.55695,                0.08559,                 0.0001,                 0.0001,                 0.0001
                     36,                0.83745,                0.53445,                0.08533,                0.52148,                 0.3649,                0.37744,                 0.2202,                0.76031,                0.55612,                0.08508,                 0.0001,                 0.0001,                 0.0001
                     37,                0.83991,                0.53136,                 0.0862,                0.52571,                0.36715,                 0.3797,                0.22164,                0.75835,                0.55523,                0.08466,                 0.0001,                 0.0001,                 0.0001
                     38,                0.83184,                 0.5323,                0.08464,                0.52985,                0.37128,                0.38142,                0.22284,                 0.7557,                0.55508,                  0.084,                 0.0001,                 0.0001,                 0.0001
                     39,                0.82917,                0.53232,                0.08409,                0.52626,                0.37533,                0.38421,                0.22408,                0.75344,                0.55499,                0.08351,                 0.0001,                 0.0001,                 0.0001
                     40,                0.82825,                0.53198,                0.08431,                0.52585,                 0.3779,                0.38624,                0.22561,                 0.7511,                0.55461,                0.08293,                 0.0001,                 0.0001,                 0.0001
                     41,                0.81912,                0.53328,                0.08237,                0.53011,                0.37962,                0.38731,                0.22684,                0.74842,                0.55441,                0.08271,                 0.0001,                 0.0001,                 0.0001
                     42,                0.81854,                0.53044,                0.08165,                0.53359,                0.38224,                0.39052,                0.22888,                 0.7444,                0.55503,                 0.0817,                 0.0001,                 0.0001,                 0.0001
                     43,                0.81558,                0.53132,                0.08158,                0.53925,                0.38413,                0.39275,                0.23049,                0.74165,                0.55525,                0.08135,                 0.0001,                 0.0001,                 0.0001
                     44,                0.81552,                0.53043,                0.08164,                 0.5434,                0.38216,                0.39409,                0.23169,                0.73856,                0.55583,                0.08062,                 0.0001,                 0.0001,                 0.0001
                     45,                0.81383,                0.53131,                0.08159,                0.54161,                0.38326,                0.39563,                0.23302,                0.73635,                0.55587,                0.08026,                 0.0001,                 0.0001,                 0.0001
                     46,                0.81449,                0.52836,                0.08103,                0.54178,                0.38396,                 0.3979,                0.23469,                0.73288,                0.55538,                0.07978,                 0.0001,                 0.0001,                 0.0001
                     47,                0.81146,                0.52906,                0.08081,                0.54168,                0.38559,                 0.3989,                0.23518,                0.73199,                0.55472,                0.07944,                 0.0001,                 0.0001,                 0.0001
                     48,                0.80087,                0.53086,                0.07997,                0.54743,                0.38547,                0.40014,                0.23611,                0.72958,                0.55445,                0.07898,                 0.0001,                 0.0001,                 0.0001
                     49,                0.80231,                0.52904,                0.07874,                0.54878,                 0.3875,                0.40123,                0.23679,                0.72791,                 0.5541,                0.07884,                 0.0001,                 0.0001,                 0.0001
                     50,                0.79935,                0.52978,                0.07924,                0.54943,                0.39013,                0.40441,                0.23905,                 0.7256,                 0.5542,                0.07828,                 0.0001,                 0.0001,                 0.0001
                     51,                0.79792,                 0.5288,                 0.0776,                 0.5526,                0.39287,                0.40645,                0.24034,                0.72397,                0.55374,                0.07808,                 0.0001,                 0.0001,                 0.0001
                     52,                0.79969,                0.52844,                 0.0781,                0.55638,                0.39412,                0.40887,                0.24234,                0.72116,                0.55415,                0.07735,                 0.0001,                 0.0001,                 0.0001
                     53,                0.79699,                0.52776,                0.07783,                0.55847,                0.39497,                0.41031,                0.24345,                0.71914,                0.55403,                0.07676,                 0.0001,                 0.0001,                 0.0001
                     54,                0.79427,                0.52761,                 0.0768,                0.56302,                 0.3978,                0.41286,                0.24559,                 0.7168,                0.55416,                0.07619,                 0.0001,                 0.0001,                 0.0001
                     55,                0.79401,                 0.5268,                0.07732,                0.55624,                0.40047,                0.41374,                 0.2458,                0.71546,                 0.5541,                0.07576,                 0.0001,                 0.0001,                 0.0001
                     56,                0.78781,                0.52794,                0.07551,                0.55895,                0.40048,                0.41441,                0.24624,                0.71406,                0.55305,                0.07539,                 0.0001,                 0.0001,                 0.0001
                     57,                0.78826,                0.52709,                0.07698,                0.56168,                 0.4009,                0.41476,                0.24701,                 0.7128,                 0.5529,                0.07524,                 0.0001,                 0.0001,                 0.0001
                     58,                0.78375,                0.52631,                0.07552,                0.55904,                0.40574,                0.41793,                0.24883,                0.71139,                0.55294,                0.07492,                 0.0001,                 0.0001,                 0.0001
                     59,                0.78565,                0.52633,                 0.0762,                0.56105,                  0.408,                0.41925,                0.24976,                0.70965,                 0.5533,                0.07463,                 0.0001,                 0.0001,                 0.0001
                     60,                0.78077,                0.52553,                0.07533,                0.56401,                0.40566,                0.42013,                0.25022,                0.70828,                0.55303,                0.07459,                 0.0001,                 0.0001,                 0.0001
                     61,                0.77725,                0.52766,                0.07531,                0.56371,                0.40891,                0.42174,                0.25148,                0.70703,                0.55321,                 0.0744,                 0.0001,                 0.0001,                 0.0001
                     62,                0.78128,                0.52596,                0.07464,                0.56754,                0.40959,                0.42456,                0.25362,                0.70523,                0.55302,                0.07369,                 0.0001,                 0.0001,                 0.0001
                     63,                 0.7762,                0.52536,                0.07443,                0.56876,                0.40883,                 0.4255,                0.25452,                0.70314,                0.55334,                0.07304,                 0.0001,                 0.0001,                 0.0001
                     64,                0.77591,                0.52539,                0.07371,                0.57352,                0.41227,                0.42743,                0.25659,                0.70209,                0.55239,                0.07297,                 0.0001,                 0.0001,                 0.0001
                     65,                0.77414,                 0.5252,                0.07409,                  0.571,                0.41347,                 0.4285,                0.25744,                0.70129,                0.55246,                0.07281,                 0.0001,                 0.0001,                 0.0001
                     66,                0.76893,                0.52581,                0.07346,                0.57394,                0.41428,                0.42955,                0.25794,                0.70028,                0.55268,                0.07293,                 0.0001,                 0.0001,                 0.0001
                     67,                0.77124,                0.52521,                0.07363,                  0.579,                0.41235,                0.43031,                0.25858,                0.69991,                0.55261,                0.07289,                 0.0001,                 0.0001,                 0.0001
                     68,                0.76434,                0.52544,                0.07237,                0.58217,                0.41368,                0.43165,                0.25965,                0.69818,                0.55235,                0.07281,                 0.0001,                 0.0001,                 0.0001
                     69,                0.76234,                0.52513,                0.07244,                0.58435,                0.41533,                 0.4332,                 0.2605,                0.69642,                0.55246,                0.07277,                 0.0001,                 0.0001,                 0.0001
                     70,                 0.7631,                0.52636,                 0.0723,                0.58255,                0.41823,                0.43437,                0.26098,                0.69493,                0.55203,                0.07235,                 0.0001,                 0.0001,                 0.0001
                     71,                0.76071,                0.52442,                0.07278,                0.57897,                0.41945,                0.43402,                0.26118,                0.69363,                0.55242,                0.07204,                 0.0001,                 0.0001,                 0.0001
                     72,                0.75724,                0.52592,                0.07183,                0.58085,                0.42086,                0.43538,                0.26273,                0.69202,                0.55254,                0.07154,                 0.0001,                 0.0001,                 0.0001
                     73,                0.75529,                0.52499,                0.07136,                 0.5802,                0.42175,                 0.4366,                0.26318,                 0.6911,                 0.5525,                0.07151,                 0.0001,                 0.0001,                 0.0001
                     74,                0.75815,                0.52298,                0.07148,                0.58209,                0.42181,                0.43688,                0.26346,                0.69088,                0.55242,                0.07148,                 0.0001,                 0.0001,                 0.0001
                     75,                0.75738,                0.52309,                0.07149,                0.58957,                 0.4212,                 0.4387,                0.26464,                0.69042,                0.55221,                0.07104,                 0.0001,                 0.0001,                 0.0001
                     76,                0.75062,                 0.5235,                0.07074,                0.59135,                0.42188,                0.43989,                0.26553,                0.68932,                0.55243,                0.07106,                 0.0001,                 0.0001,                 0.0001
                     77,                0.75013,                0.52381,                0.07041,                0.59092,                0.42052,                0.44022,                0.26574,                0.68892,                0.55239,                0.07111,                 0.0001,                 0.0001,                 0.0001
                     78,                0.75426,                0.52171,                0.07025,                0.59753,                0.42236,                0.44343,                0.26767,                0.68834,                0.55189,                0.07122,                 0.0001,                 0.0001,                 0.0001
                     79,                0.75459,                0.52217,                0.07069,                0.58942,                0.42586,                0.44413,                0.26805,                0.68733,                0.55155,                 0.0711,                 0.0001,                 0.0001,                 0.0001
                     80,                0.74884,                 0.5227,                0.07015,                0.59032,                0.42747,                0.44377,                0.26791,                0.68703,                 0.5517,                0.07092,                 0.0001,                 0.0001,                 0.0001
                     81,                0.74867,                0.52206,                0.07029,                0.59461,                0.43117,                0.44642,                0.26931,                0.68582,                 0.5515,                0.07073,                 0.0001,                 0.0001,                 0.0001
