                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8613,                0.26711,                0.48544,                0.11096,                0.01537,                0.00516,                0.00102,                 2.1056,                0.23723,                0.71192,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.5714,                0.36436,                 0.3005,                0.23535,                0.11055,                0.07994,                0.03289,                 1.2907,                0.50432,                0.19727,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2969,                0.52104,                0.20177,                0.34557,                0.13347,                0.12309,                0.06444,                 1.1562,                0.54318,                0.17321,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.2044,                0.54506,                0.17277,                0.25878,                0.18067,                0.15741,                0.08211,                 1.0529,                0.56479,                0.14263,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1357,                0.55247,                0.15199,                0.30457,                0.20001,                0.18654,                0.10133,                 1.0079,                0.56682,                0.13515,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0935,                0.55481,                0.14177,                0.33378,                0.22365,                  0.206,                0.11394,                0.97253,                0.56563,                 0.1262,                 0.0001,                 0.0001,                 0.0001
                      7,                  1.064,                0.55532,                0.13432,                0.34844,                0.23892,                0.22765,                0.12884,                0.93599,                0.56875,                0.11725,                 0.0001,                 0.0001,                 0.0001
                      8,                   1.04,                0.55308,                 0.1268,                0.37075,                0.25192,                0.23952,                0.13637,                 0.9106,                0.57113,                0.11094,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0194,                0.55203,                0.12364,                 0.3879,                0.25849,                0.24983,                0.14282,                0.89555,                0.56924,                0.10807,                 0.0001,                 0.0001,                 0.0001
                     10,                0.99849,                 0.5526,                0.11741,                 0.3869,                0.26616,                0.25975,                0.14879,                0.88229,                0.57028,                0.10483,                 0.0001,                 0.0001,                 0.0001
                     11,                0.98514,                0.55224,                0.11466,                0.39029,                0.27722,                0.26759,                0.15371,                0.87354,                0.57046,                0.10282,                 0.0001,                 0.0001,                 0.0001
                     12,                0.96501,                0.55417,                0.11121,                0.39545,                0.28088,                0.27214,                0.15672,                0.86568,                0.56999,                0.10122,                 0.0001,                 0.0001,                 0.0001
                     13,                0.95603,                0.55398,                 0.1076,                0.39271,                0.28568,                0.27685,                0.15927,                0.85952,                0.56949,                 0.0999,                 0.0001,                 0.0001,                 0.0001
                     14,                0.94736,                0.55178,                0.10751,                0.39679,                0.29239,                0.28254,                 0.1637,                0.85371,                0.56949,                0.09873,                 0.0001,                 0.0001,                 0.0001
                     15,                0.93284,                0.55059,                0.10415,                0.40789,                0.29344,                0.28704,                0.16657,                0.84805,                0.56938,                0.09775,                 0.0001,                 0.0001,                 0.0001
                     16,                0.92212,                0.55192,                0.10136,                0.42026,                0.29434,                0.29055,                0.16943,                0.84177,                0.56899,                 0.0964,                 0.0001,                 0.0001,                 0.0001
                     17,                0.91253,                0.55124,                0.10059,                0.41806,                0.30099,                 0.2959,                0.17279,                0.83537,                0.56842,                0.09518,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9054,                0.55091,                0.09855,                0.42075,                0.30697,                0.30194,                  0.177,                0.82918,                0.56848,                0.09404,                 0.0001,                 0.0001,                 0.0001
                     19,                0.89949,                0.54852,                0.09735,                0.42844,                0.30714,                0.30735,                0.18015,                0.82309,                  0.568,                0.09326,                 0.0001,                 0.0001,                 0.0001
                     20,                 0.8963,                 0.5489,                0.09603,                 0.4373,                0.31227,                0.31283,                0.18388,                0.81754,                0.56734,                0.09217,                 0.0001,                 0.0001,                 0.0001
                     21,                0.88705,                0.54899,                0.09582,                0.44474,                0.31569,                0.31772,                0.18741,                0.81114,                0.56762,                0.09108,                 0.0001,                 0.0001,                 0.0001
                     22,                0.88405,                0.54761,                0.09472,                0.44801,                0.32186,                0.32347,                0.19117,                0.80541,                0.56779,                0.09012,                 0.0001,                 0.0001,                 0.0001
                     23,                0.87547,                 0.5469,                0.09311,                0.45443,                0.32731,                0.32909,                0.19485,                 0.8007,                0.56698,                0.08951,                 0.0001,                 0.0001,                 0.0001
                     24,                0.87227,                0.54384,                0.09204,                0.45709,                0.33284,                0.33449,                0.19806,                 0.7955,                0.56684,                 0.0885,                 0.0001,                 0.0001,                 0.0001
                     25,                0.86941,                0.54396,                 0.0913,                0.46646,                0.33449,                0.34003,                0.20194,                0.79008,                 0.5662,                0.08769,                 0.0001,                 0.0001,                 0.0001
                     26,                0.86317,                0.54477,                0.09025,                0.47915,                0.33571,                 0.3439,                0.20473,                0.78578,                0.56486,                0.08705,                 0.0001,                 0.0001,                 0.0001
                     27,                0.85682,                0.54234,                0.08852,                0.48123,                 0.3426,                0.34734,                0.20708,                0.78023,                0.56437,                 0.0859,                 0.0001,                 0.0001,                 0.0001
                     28,                0.84988,                0.54325,                0.08895,                0.48094,                0.34819,                0.35191,                0.20963,                0.77596,                0.56334,                  0.085,                 0.0001,                 0.0001,                 0.0001
                     29,                0.84875,                0.54161,                0.08725,                0.49064,                0.34801,                 0.3568,                 0.2125,                0.77062,                0.56308,                0.08425,                 0.0001,                 0.0001,                 0.0001
                     30,                0.84617,                0.54063,                0.08716,                0.49071,                0.35166,                0.36003,                0.21454,                 0.7666,                 0.5626,                0.08369,                 0.0001,                 0.0001,                 0.0001
                     31,                0.83526,                0.54327,                0.08555,                0.49881,                0.35348,                0.36401,                0.21729,                0.76284,                0.56146,                0.08301,                 0.0001,                 0.0001,                 0.0001
                     32,                0.83363,                0.54321,                0.08512,                0.50269,                0.35278,                 0.3659,                0.21877,                0.75953,                0.56083,                0.08289,                 0.0001,                 0.0001,                 0.0001
                     33,                0.83462,                0.54019,                0.08437,                0.50485,                0.35472,                0.36826,                0.22008,                0.75587,                0.56087,                 0.0823,                 0.0001,                 0.0001,                 0.0001
                     34,                0.83043,                0.54077,                0.08455,                0.51401,                0.35512,                0.37185,                0.22234,                0.75275,                0.56016,                0.08172,                 0.0001,                 0.0001,                 0.0001
                     35,                 0.8229,                 0.5414,                0.08349,                0.52132,                0.35847,                0.37758,                0.22639,                0.74934,                0.56045,                0.08114,                 0.0001,                 0.0001,                 0.0001
                     36,                 0.8218,                0.54031,                0.08272,                0.52201,                0.36302,                 0.3801,                0.22773,                0.74614,                 0.5604,                0.08059,                 0.0001,                 0.0001,                 0.0001
                     37,                0.82438,                0.53718,                0.08339,                0.52224,                0.36638,                0.38185,                 0.2291,                0.74305,                0.56056,                0.08015,                 0.0001,                 0.0001,                 0.0001
                     38,                0.81836,                0.53769,                0.08228,                0.52341,                0.36906,                0.38408,                0.23053,                0.74071,                0.56016,                0.08008,                 0.0001,                 0.0001,                 0.0001
                     39,                0.81365,                0.53769,                0.08138,                0.53073,                0.37033,                0.38574,                0.23163,                0.73686,                0.56029,                 0.0794,                 0.0001,                 0.0001,                 0.0001
                     40,                0.81248,                0.53754,                0.08094,                0.53332,                0.37139,                0.38769,                0.23294,                0.73568,                0.55948,                 0.0793,                 0.0001,                 0.0001,                 0.0001
                     41,                0.80654,                0.53738,                0.08053,                0.53019,                0.37429,                0.38895,                0.23352,                0.73387,                0.55901,                0.07891,                 0.0001,                 0.0001,                 0.0001
                     42,                0.80565,                0.53624,                0.08022,                0.52728,                0.38027,                0.39251,                0.23549,                0.73146,                0.55904,                0.07826,                 0.0001,                 0.0001,                 0.0001
                     43,                0.80304,                0.53491,                0.07946,                0.53224,                0.37853,                0.39433,                0.23717,                 0.7293,                0.55859,                0.07814,                 0.0001,                 0.0001,                 0.0001
                     44,                0.80238,                0.53445,                0.07961,                0.53886,                0.37989,                0.39617,                0.23892,                0.72722,                 0.5588,                0.07765,                 0.0001,                 0.0001,                 0.0001
                     45,                0.79997,                0.53577,                0.07911,                0.53976,                0.38128,                0.39813,                0.24034,                0.72533,                0.55859,                0.07746,                 0.0001,                 0.0001,                 0.0001
                     46,                0.80114,                0.53398,                0.07942,                0.53987,                0.38371,                 0.3998,                0.24115,                0.72256,                0.55886,                0.07699,                 0.0001,                 0.0001,                 0.0001
                     47,                 0.8005,                0.53265,                0.07908,                0.54935,                0.38524,                0.40298,                0.24319,                0.72108,                0.55841,                0.07681,                 0.0001,                 0.0001,                 0.0001
                     48,                0.78987,                0.53562,                0.07836,                0.54423,                0.39071,                0.40541,                0.24456,                0.71839,                 0.5588,                0.07639,                 0.0001,                 0.0001,                 0.0001
                     49,                0.79078,                0.53325,                  0.077,                0.54902,                0.38866,                0.40711,                0.24539,                0.71685,                0.55844,                 0.0763,                 0.0001,                 0.0001,                 0.0001
                     50,                0.79027,                0.53421,                0.07809,                0.54472,                0.39184,                0.40802,                0.24607,                0.71518,                0.55854,                0.07607,                 0.0001,                 0.0001,                 0.0001
                     51,                  0.789,                0.53249,                0.07688,                 0.5522,                0.39086,                   0.41,                0.24753,                0.71392,                0.55814,                0.07601,                 0.0001,                 0.0001,                 0.0001
                     52,                0.78931,                0.53253,                0.07697,                0.55052,                0.39577,                0.41095,                0.24872,                0.71161,                0.55785,                0.07547,                 0.0001,                 0.0001,                 0.0001
                     53,                0.78704,                0.53215,                0.07698,                0.55142,                 0.3983,                0.41277,                0.24935,                0.71001,                0.55753,                0.07496,                 0.0001,                 0.0001,                 0.0001
                     54,                0.78563,                0.53221,                0.07564,                0.55186,                0.39795,                0.41419,                0.25048,                0.70764,                0.55812,                0.07431,                 0.0001,                 0.0001,                 0.0001
                     55,                0.78372,                0.53087,                0.07547,                0.55052,                0.40079,                0.41512,                0.25124,                0.70613,                0.55769,                0.07403,                 0.0001,                 0.0001,                 0.0001
                     56,                0.77833,                0.53207,                0.07455,                0.54864,                0.40518,                0.41798,                0.25336,                0.70572,                0.55754,                0.07418,                 0.0001,                 0.0001,                 0.0001
                     57,                0.77902,                0.53128,                0.07541,                0.55693,                0.40253,                0.41934,                0.25388,                0.70511,                0.55757,                0.07425,                 0.0001,                 0.0001,                 0.0001
                     58,                0.77486,                0.53178,                0.07462,                0.55668,                0.40325,                0.41999,                0.25446,                0.70399,                0.55673,                 0.0741,                 0.0001,                 0.0001,                 0.0001
                     59,                0.77523,                0.52995,                0.07453,                0.55773,                0.40792,                0.42356,                0.25597,                0.70312,                0.55677,                0.07408,                 0.0001,                 0.0001,                 0.0001
                     60,                 0.7713,                0.53037,                0.07419,                0.55547,                   0.41,                0.42476,                 0.2572,                0.70206,                0.55618,                0.07393,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.7685,                0.53267,                0.07472,                0.56004,                0.40871,                  0.425,                0.25684,                0.69978,                0.55677,                0.07337,                 0.0001,                 0.0001,                 0.0001
                     62,                0.77456,                0.52959,                0.07422,                0.56457,                0.40843,                0.42713,                0.25859,                0.69826,                 0.5567,                0.07298,                 0.0001,                 0.0001,                 0.0001
                     63,                0.76757,                0.53123,                0.07346,                0.56856,                0.40831,                0.42718,                0.25862,                0.69784,                0.55585,                0.07273,                 0.0001,                 0.0001,                 0.0001
