                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8585,                0.26511,                0.48238,                0.31438,                0.01842,                0.00781,                0.00162,                 1.8929,                 0.3131,                0.43937,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.5131,                0.41742,                0.28427,                0.21312,                0.11731,                0.08776,                0.03969,                 1.2609,                0.53837,                0.20182,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2825,                0.53671,                0.20129,                0.17944,                0.12836,                0.10487,                0.05578,                 1.1318,                0.56974,                0.17196,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1953,                0.55097,                0.17313,                0.25552,                0.17286,                0.15685,                0.08217,                 1.0583,                0.56482,                0.14459,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1354,                 0.5546,                0.15436,                0.31921,                0.20267,                0.18678,                0.10113,                 1.0071,                0.56985,                0.13489,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0919,                0.55742,                 0.1431,                0.34284,                 0.2234,                0.20794,                0.11443,                0.96911,                0.56561,                0.12753,                 0.0001,                 0.0001,                 0.0001
                      7,                  1.065,                0.55643,                0.13642,                0.35441,                0.24175,                0.22674,                0.12618,                 0.9338,                0.56822,                 0.1178,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0382,                0.55534,                0.12715,                  0.376,                0.24987,                0.23958,                  0.135,                0.91145,                0.56927,                0.11311,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0166,                0.55408,                0.12355,                0.38432,                0.25958,                0.25033,                0.14201,                0.89663,                0.56738,                0.11054,                 0.0001,                 0.0001,                 0.0001
                     10,                0.99901,                0.55372,                0.11838,                0.39212,                0.27178,                0.26046,                0.14883,                0.88448,                0.56686,                0.10758,                 0.0001,                 0.0001,                 0.0001
                     11,                 0.9852,                0.55285,                0.11579,                0.39636,                0.27772,                0.26888,                0.15455,                0.87333,                0.56846,                0.10557,                 0.0001,                 0.0001,                 0.0001
                     12,                0.96467,                0.55473,                0.11176,                0.40347,                0.28166,                 0.2745,                0.15817,                0.86774,                0.56745,                0.10406,                 0.0001,                 0.0001,                 0.0001
                     13,                0.95877,                0.55397,                0.10912,                0.40851,                0.28544,                 0.2794,                0.16149,                0.86015,                0.56807,                0.10253,                 0.0001,                 0.0001,                 0.0001
                     14,                0.94598,                0.55308,                0.10738,                 0.4143,                0.28746,                0.28314,                0.16386,                0.85334,                0.56777,                0.10123,                 0.0001,                 0.0001,                 0.0001
                     15,                0.93342,                 0.5527,                0.10466,                0.42473,                0.29167,                0.28884,                0.16777,                0.84775,                 0.5678,                0.09996,                 0.0001,                 0.0001,                 0.0001
                     16,                0.92433,                0.55207,                0.10301,                  0.434,                0.29375,                0.29317,                0.17091,                0.84237,                0.56696,                0.09886,                 0.0001,                 0.0001,                 0.0001
                     17,                0.91143,                0.55401,                 0.1008,                0.43955,                0.29729,                0.29869,                0.17448,                0.83651,                0.56673,                 0.0976,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9044,                0.55231,                0.09887,                0.44891,                0.30196,                0.30453,                0.17863,                0.82971,                0.56633,                0.09618,                 0.0001,                 0.0001,                 0.0001
                     19,                0.90109,                0.55052,                0.09818,                0.44933,                0.30604,                0.30858,                0.18093,                0.82511,                0.56561,                0.09536,                 0.0001,                 0.0001,                 0.0001
                     20,                0.89499,                0.55014,                 0.0958,                0.45291,                0.30947,                0.31182,                  0.183,                 0.8199,                0.56469,                0.09436,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.8888,                0.54917,                 0.0969,                0.45681,                0.31359,                0.31697,                0.18654,                0.81324,                0.56482,                0.09314,                 0.0001,                 0.0001,                 0.0001
                     22,                0.88431,                0.54791,                0.09494,                0.45891,                0.31799,                0.32163,                0.18968,                0.80773,                0.56468,                0.09215,                 0.0001,                 0.0001,                 0.0001
                     23,                0.87484,                0.54827,                0.09388,                0.46442,                0.32229,                0.32645,                0.19319,                0.80294,                0.56379,                0.09122,                 0.0001,                 0.0001,                 0.0001
                     24,                0.87289,                0.54512,                0.09249,                0.46742,                0.32799,                0.33109,                0.19634,                0.79712,                0.56313,                0.08988,                 0.0001,                 0.0001,                 0.0001
                     25,                0.87109,                 0.5454,                 0.0917,                 0.4684,                 0.3333,                0.33509,                0.19893,                0.79174,                0.56286,                  0.089,                 0.0001,                 0.0001,                 0.0001
                     26,                0.86091,                 0.5465,                0.08969,                0.47648,                0.33473,                0.33925,                0.20114,                0.78768,                0.56231,                0.08849,                 0.0001,                 0.0001,                 0.0001
                     27,                0.85673,                0.54458,                 0.0884,                0.48204,                0.33684,                0.34233,                0.20307,                0.78295,                0.56197,                0.08782,                 0.0001,                 0.0001,                 0.0001
                     28,                0.84966,                0.54519,                 0.0883,                0.48861,                 0.3401,                0.34709,                0.20603,                0.77914,                0.56129,                0.08695,                 0.0001,                 0.0001,                 0.0001
                     29,                0.84823,                0.54276,                0.08729,                0.49069,                0.34316,                0.35129,                 0.2089,                0.77489,                0.56117,                0.08648,                 0.0001,                 0.0001,                 0.0001
                     30,                 0.8454,                0.54178,                0.08697,                0.49714,                0.34581,                0.35579,                0.21158,                0.76981,                0.56089,                0.08542,                 0.0001,                 0.0001,                 0.0001
