                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8432,                 0.2762,                0.48258,                0.14512,                0.03554,                 0.0208,                0.00515,                 1.6244,                0.36935,                0.34933,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4409,                0.47168,                0.26728,                0.15755,                 0.1232,                0.09595,                0.04479,                 1.2162,                0.54414,                0.18621,                 0.0001,                 0.0001,                 0.0001
                      3,                  1.253,                0.53658,                0.19245,                0.37132,                 0.1392,                0.14877,                0.07044,                 1.1336,                0.55874,                0.16726,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1736,                0.54491,                0.16486,                0.28575,                0.18272,                0.16774,                0.08704,                 1.0467,                0.56093,                0.14078,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1314,                0.54622,                0.15221,                 0.3243,                0.20788,                0.19412,                0.10282,                0.99756,                0.56097,                0.13191,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0934,                0.54834,                0.14229,                0.33292,                0.23169,                0.21049,                0.11213,                0.96952,                0.55897,                0.12437,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0713,                0.54858,                0.13655,                0.34009,                0.25299,                0.23114,                0.12544,                0.94012,                0.56286,                0.11823,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0521,                0.54496,                0.12969,                0.36539,                0.25821,                0.24063,                0.13167,                0.92368,                0.56235,                0.11516,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0325,                0.54597,                0.12709,                0.36574,                0.27098,                0.25207,                0.13876,                0.90245,                0.56399,                0.11092,                 0.0001,                 0.0001,                 0.0001
                     10,                  1.015,                0.54502,                0.12113,                0.38489,                0.27209,                0.26092,                0.14393,                0.89272,                0.56408,                 0.1089,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.0073,                 0.5441,                0.11957,                0.39221,                0.27594,                0.26783,                0.14864,                0.88422,                 0.5638,                0.10705,                 0.0001,                 0.0001,                 0.0001
                     12,                0.98537,                0.54679,                0.11591,                0.39704,                 0.2792,                0.27266,                0.15222,                0.87926,                0.56248,                0.10583,                 0.0001,                 0.0001,                 0.0001
                     13,                0.97797,                0.54529,                0.11183,                0.40546,                0.28259,                0.27985,                0.15593,                0.87311,                0.56271,                0.10445,                 0.0001,                 0.0001,                 0.0001
                     14,                0.96873,                0.54436,                0.11186,                0.41282,                0.28736,                0.28442,                0.15884,                0.86724,                0.56263,                0.10364,                 0.0001,                 0.0001,                 0.0001
                     15,                0.95615,                0.54375,                0.10863,                0.42047,                 0.2885,                0.28868,                0.16154,                 0.8604,                0.56277,                0.10224,                 0.0001,                 0.0001,                 0.0001
                     16,                0.94587,                0.54382,                0.10635,                0.41968,                  0.296,                 0.2932,                0.16446,                0.85436,                0.56311,                0.10153,                 0.0001,                 0.0001,                 0.0001
                     17,                 0.9365,                0.54409,                0.10523,                0.42887,                0.29968,                0.29715,                0.16724,                0.84903,                0.56292,                0.10086,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9291,                0.54393,                0.10344,                0.43035,                0.30439,                0.30125,                0.16977,                0.84282,                0.56307,                 0.0996,                 0.0001,                 0.0001,                 0.0001
                     19,                0.92444,                 0.5424,                0.10185,                0.43317,                0.30849,                0.30557,                 0.1729,                0.83736,                0.56366,                0.09814,                 0.0001,                 0.0001,                 0.0001
                     20,                0.91977,                0.54246,                0.10047,                 0.4362,                0.31106,                 0.3113,                0.17716,                0.83136,                0.56393,                0.09657,                 0.0001,                 0.0001,                 0.0001
                     21,                0.90982,                0.54198,                0.10002,                0.44306,                0.31513,                0.31648,                0.18082,                0.82594,                0.56355,                0.09575,                 0.0001,                 0.0001,                 0.0001
