                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8462,                0.27002,                0.48229,                0.11503,                0.02432,                0.00998,                0.00218,                 1.7626,                0.33235,                0.42646,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4538,                0.45724,                0.26869,                0.17865,                0.12031,                0.09041,                0.04298,                 1.2203,                0.54071,                0.20164,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2509,                0.53935,                0.19287,                 0.3811,                0.13766,                0.14288,                0.07894,                   1.12,                0.55732,                0.16961,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1742,                0.54951,                0.16616,                0.25369,                0.19352,                 0.1636,                0.08742,                 1.0568,                0.56047,                0.14262,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1254,                0.55083,                0.15128,                0.30845,                0.21116,                0.18676,                0.10095,                0.99707,                0.56518,                0.13155,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0877,                0.55252,                0.14179,                0.35268,                0.22906,                0.21021,                0.11686,                0.96866,                0.56177,                0.12594,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0608,                0.55214,                0.13471,                0.37432,                0.24378,                 0.2331,                0.13098,                0.94046,                 0.5643,                0.11909,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0399,                0.54968,                0.12748,                0.38231,                0.26075,                0.24659,                0.13992,                0.91299,                0.56676,                0.11369,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0168,                0.55154,                 0.1239,                0.39632,                0.26498,                0.25529,                0.14575,                0.89825,                 0.5662,                0.11022,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0016,                0.55021,                0.11944,                0.39541,                 0.2701,                0.26072,                0.14913,                0.88503,                0.56612,                0.10733,                 0.0001,                 0.0001,                 0.0001
                     11,                0.98569,                0.55055,                0.11559,                0.39966,                0.27753,                0.26899,                0.15413,                0.87663,                0.56615,                0.10552,                 0.0001,                 0.0001,                 0.0001
                     12,                0.96788,                0.55173,                0.11289,                0.40476,                0.28337,                0.27272,                 0.1565,                0.86758,                0.56628,                0.10382,                 0.0001,                 0.0001,                 0.0001
                     13,                0.95981,                0.55119,                0.10894,                0.40537,                0.28735,                0.27777,                0.15994,                0.86024,                0.56693,                0.10254,                 0.0001,                 0.0001,                 0.0001
                     14,                0.94957,                 0.5507,                0.10912,                0.41671,                0.28988,                0.28361,                0.16332,                0.85411,                0.56716,                0.10148,                 0.0001,                 0.0001,                 0.0001
                     15,                0.93625,                0.54994,                0.10555,                0.42033,                0.29577,                0.28878,                0.16702,                0.84861,                0.56691,                0.10009,                 0.0001,                 0.0001,                 0.0001
                     16,                0.92678,                0.54895,                0.10356,                0.43456,                0.29724,                0.29301,                0.17017,                0.84166,                0.56741,                0.09886,                 0.0001,                 0.0001,                 0.0001
                     17,                0.91857,                0.54958,                0.10291,                0.44226,                0.30051,                0.29842,                0.17408,                0.83555,                0.56743,                0.09779,                 0.0001,                 0.0001,                 0.0001
                     18,                0.90593,                0.55062,                0.09941,                 0.4469,                0.30305,                0.30305,                0.17746,                0.82944,                0.56726,                0.09705,                 0.0001,                 0.0001,                 0.0001
                     19,                0.90299,                0.54626,                0.09864,                0.45289,                0.30727,                0.30795,                0.18069,                0.82326,                0.56702,                0.09584,                 0.0001,                 0.0001,                 0.0001
                     20,                0.89779,                0.54723,                0.09698,                0.45664,                0.31079,                 0.3129,                0.18418,                0.81758,                0.56678,                0.09517,                 0.0001,                 0.0001,                 0.0001
                     21,                0.89003,                0.54759,                 0.0972,                0.46124,                0.31341,                0.31749,                0.18739,                0.81103,                0.56664,                0.09387,                 0.0001,                 0.0001,                 0.0001
                     22,                0.88855,                0.54444,                0.09646,                0.46505,                0.31977,                0.32455,                0.19161,                0.80487,                0.56611,                0.09306,                 0.0001,                 0.0001,                 0.0001
                     23,                0.87835,                0.54638,                 0.0949,                0.46506,                0.32631,                0.32991,                0.19513,                0.80066,                0.56567,                0.09217,                 0.0001,                 0.0001,                 0.0001
                     24,                0.87411,                0.54335,                0.09324,                0.46995,                0.33138,                0.33471,                 0.1981,                0.79588,                0.56463,                0.09117,                 0.0001,                 0.0001,                 0.0001
                     25,                0.87262,                0.54272,                0.09266,                0.47923,                0.33356,                0.33824,                0.20048,                0.79126,                0.56397,                0.09072,                 0.0001,                 0.0001,                 0.0001
                     26,                0.86667,                0.54256,                0.09123,                0.48258,                0.33667,                 0.3419,                0.20364,                0.78674,                0.56327,                   0.09,                 0.0001,                 0.0001,                 0.0001
                     27,                0.85987,                0.54198,                0.09025,                0.48602,                0.33871,                 0.3462,                0.20593,                0.78159,                0.56367,                0.08916,                 0.0001,                 0.0001,                 0.0001
                     28,                0.85485,                0.54057,                0.09052,                0.49285,                0.34051,                0.34899,                0.20812,                0.77684,                0.56354,                0.08833,                 0.0001,                 0.0001,                 0.0001
                     29,                0.85411,                0.53954,                0.08891,                0.49919,                0.34273,                0.35233,                0.21103,                0.77207,                  0.563,                0.08741,                 0.0001,                 0.0001,                 0.0001
                     30,                0.84811,                0.54031,                 0.0883,                0.51093,                0.34752,                0.35777,                0.21422,                0.76705,                0.56278,                0.08622,                 0.0001,                 0.0001,                 0.0001
                     31,                0.83792,                0.54104,                0.08658,                0.51134,                0.35103,                0.36106,                0.21634,                0.76327,                0.56264,                0.08543,                 0.0001,                 0.0001,                 0.0001
                     32,                0.83677,                   0.54,                0.08658,                0.51083,                0.35504,                0.36317,                0.21771,                0.75812,                0.56242,                0.08406,                 0.0001,                 0.0001,                 0.0001
                     33,                0.83965,                0.53902,                0.08614,                0.51246,                0.35845,                0.36656,                0.21965,                0.75487,                0.56173,                0.08368,                 0.0001,                 0.0001,                 0.0001
                     34,                0.83115,                0.53835,                0.08507,                0.51322,                0.36187,                0.37056,                0.22243,                0.75148,                0.56152,                0.08305,                 0.0001,                 0.0001,                 0.0001
                     35,                0.82493,                0.53984,                0.08425,                0.51454,                0.36495,                0.37456,                0.22486,                0.74848,                0.56123,                0.08244,                 0.0001,                 0.0001,                 0.0001
                     36,                 0.8255,                0.53849,                0.08419,                0.51887,                0.36488,                0.37643,                0.22587,                0.74553,                0.56054,                0.08227,                 0.0001,                 0.0001,                 0.0001
                     37,                0.82779,                0.53601,                0.08508,                0.52295,                0.36657,                0.37825,                0.22662,                0.74316,                 0.5604,                0.08182,                 0.0001,                 0.0001,                 0.0001
                     38,                0.81994,                0.53611,                 0.0829,                0.52557,                0.36818,                 0.3809,                0.22821,                0.74059,                0.56009,                 0.0812,                 0.0001,                 0.0001,                 0.0001
                     39,                0.81786,                 0.5369,                0.08266,                0.52288,                0.36771,                0.38164,                0.22905,                0.73872,                0.55971,                0.08079,                 0.0001,                 0.0001,                 0.0001
                     40,                0.81674,                 0.5356,                 0.0827,                0.52526,                0.37049,                0.38414,                 0.2304,                 0.7357,                0.55959,                0.08023,                 0.0001,                 0.0001,                 0.0001
                     41,                 0.8081,                0.53584,                0.08141,                0.53042,                0.37511,                0.38879,                0.23302,                0.73406,                0.55869,                 0.0798,                 0.0001,                 0.0001,                 0.0001
                     42,                0.80995,                 0.5345,                0.08093,                0.52976,                0.37961,                0.38927,                 0.2335,                0.73238,                0.55848,                0.07948,                 0.0001,                 0.0001,                 0.0001
                     43,                0.80599,                0.53501,                0.08074,                0.52997,                0.38285,                0.39225,                 0.2356,                0.73022,                0.55789,                0.07881,                 0.0001,                 0.0001,                 0.0001
                     44,                0.80534,                0.53427,                0.08049,                0.53851,                0.38383,                0.39441,                0.23668,                0.72807,                0.55755,                0.07842,                 0.0001,                 0.0001,                 0.0001
                     45,                0.80448,                0.53327,                0.08092,                0.54129,                0.38587,                0.39578,                0.23818,                0.72645,                0.55685,                0.07821,                 0.0001,                 0.0001,                 0.0001
                     46,                0.80626,                0.53157,                0.08085,                0.54276,                0.38886,                0.39857,                0.24001,                0.72388,                0.55654,                0.07764,                 0.0001,                 0.0001,                 0.0001
                     47,                0.80285,                0.53274,                0.08033,                0.54786,                0.38784,                0.40037,                0.24091,                0.72216,                0.55645,                0.07734,                 0.0001,                 0.0001,                 0.0001
                     48,                0.79227,                0.53599,                0.07955,                0.54786,                0.39034,                 0.4023,                0.24179,                0.71974,                0.55632,                0.07698,                 0.0001,                 0.0001,                 0.0001
                     49,                0.79458,                0.53182,                0.07841,                0.54941,                0.38955,                0.40317,                0.24247,                0.71738,                0.55581,                0.07649,                 0.0001,                 0.0001,                 0.0001
                     50,                0.79224,                0.53225,                0.07933,                 0.5519,                0.38946,                0.40327,                0.24267,                0.71542,                0.55576,                0.07594,                 0.0001,                 0.0001,                 0.0001
                     51,                0.78976,                0.53249,                0.07741,                0.55344,                0.39102,                0.40543,                0.24467,                0.71351,                  0.556,                0.07559,                 0.0001,                 0.0001,                 0.0001
                     52,                0.79536,                0.53064,                0.07861,                0.55503,                0.39432,                0.40787,                0.24579,                0.71152,                0.55606,                 0.0752,                 0.0001,                 0.0001,                 0.0001
                     53,                0.78928,                0.53081,                0.07792,                0.55362,                0.39615,                 0.4096,                0.24727,                0.70973,                0.55591,                0.07463,                 0.0001,                 0.0001,                 0.0001
                     54,                0.78677,                0.53029,                0.07653,                 0.5661,                0.39612,                0.41186,                0.24867,                0.70798,                0.55578,                0.07408,                 0.0001,                 0.0001,                 0.0001
                     55,                0.78725,                0.52894,                0.07698,                0.56735,                0.39918,                0.41384,                0.25012,                0.70665,                0.55498,                0.07372,                 0.0001,                 0.0001,                 0.0001
                     56,                0.78057,                0.53021,                0.07546,                 0.5674,                0.39928,                0.41636,                0.25126,                0.70506,                0.55491,                0.07356,                 0.0001,                 0.0001,                 0.0001
                     57,                0.77889,                0.53032,                  0.076,                0.57206,                0.40164,                0.41897,                0.25311,                 0.7032,                0.55454,                0.07311,                 0.0001,                 0.0001,                 0.0001
                     58,                0.77698,                0.53065,                 0.0754,                0.57445,                0.40132,                0.41779,                 0.2525,                0.70274,                0.55421,                0.07323,                 0.0001,                 0.0001,                 0.0001
                     59,                0.77892,                0.52892,                0.07605,                0.57115,                0.40566,                0.41872,                0.25282,                0.70101,                0.55462,                0.07281,                 0.0001,                 0.0001,                 0.0001
                     60,                0.77304,                0.52858,                0.07501,                0.56976,                0.40646,                 0.4198,                0.25318,                0.69951,                0.55427,                0.07279,                 0.0001,                 0.0001,                 0.0001
                     61,                0.77166,                0.53043,                0.07566,                0.56771,                0.40565,                0.42068,                  0.254,                0.69888,                0.55441,                0.07288,                 0.0001,                 0.0001,                 0.0001
                     62,                0.77534,                0.52856,                0.07467,                0.57153,                0.40561,                0.42095,                0.25436,                0.69754,                 0.5543,                0.07257,                 0.0001,                 0.0001,                 0.0001
                     63,                0.77181,                0.52875,                0.07475,                 0.5761,                0.40881,                 0.4238,                0.25609,                0.69634,                0.55483,                0.07241,                 0.0001,                 0.0001,                 0.0001
                     64,                0.76936,                0.52839,                  0.074,                0.57753,                0.41089,                0.42349,                0.25606,                0.69566,                0.55444,                0.07237,                 0.0001,                 0.0001,                 0.0001
                     65,                0.77003,                 0.5279,                0.07493,                 0.5729,                0.40951,                0.42437,                0.25611,                0.69505,                0.55436,                0.07231,                 0.0001,                 0.0001,                 0.0001
                     66,                0.76603,                0.52827,                0.07423,                0.57472,                0.41356,                0.42598,                0.25721,                0.69357,                0.55444,                0.07206,                 0.0001,                 0.0001,                 0.0001
                     67,                0.76573,                0.52709,                0.07406,                0.57564,                 0.4152,                0.42805,                0.25892,                0.69206,                 0.5545,                 0.0717,                 0.0001,                 0.0001,                 0.0001
                     68,                0.75939,                0.52783,                0.07264,                 0.5746,                 0.4151,                0.42947,                0.25978,                0.69135,                0.55455,                0.07162,                 0.0001,                 0.0001,                 0.0001
                     69,                0.75892,                0.52821,                0.07359,                0.57064,                0.41791,                0.42962,                0.25946,                 0.6903,                0.55437,                0.07133,                 0.0001,                 0.0001,                 0.0001
                     70,                0.76197,                0.52726,                0.07361,                0.57034,                0.41974,                0.43062,                0.25999,                0.68912,                0.55462,                0.07136,                 0.0001,                 0.0001,                 0.0001
                     71,                0.75634,                0.52777,                0.07302,                0.57087,                0.41988,                0.43066,                0.25929,                0.68873,                0.55411,                0.07129,                 0.0001,                 0.0001,                 0.0001
                     72,                0.75502,                 0.5278,                0.07289,                0.57206,                0.42139,                0.43145,                0.26008,                0.68743,                0.55398,                0.07111,                 0.0001,                 0.0001,                 0.0001
                     73,                  0.753,                0.52762,                0.07254,                0.56975,                0.42412,                0.43165,                0.26057,                0.68655,                0.55406,                0.07113,                 0.0001,                 0.0001,                 0.0001
                     74,                0.75726,                0.52574,                0.07295,                0.56936,                0.42472,                0.43171,                0.26058,                0.68546,                0.55426,                 0.0709,                 0.0001,                 0.0001,                 0.0001
                     75,                0.75566,                0.52576,                0.07252,                0.57384,                0.42312,                0.43327,                0.26142,                0.68444,                0.55471,                0.07064,                 0.0001,                 0.0001,                 0.0001
                     76,                 0.7474,                0.52778,                0.07184,                0.57455,                0.42321,                 0.4333,                0.26172,                0.68403,                0.55489,                0.07066,                 0.0001,                 0.0001,                 0.0001
                     77,                0.74938,                0.52564,                0.07159,                0.57476,                0.42492,                0.43484,                0.26352,                0.68318,                0.55463,                0.07041,                 0.0001,                 0.0001,                 0.0001
                     78,                0.75245,                0.52383,                0.07167,                0.57787,                0.42363,                0.43537,                0.26406,                0.68207,                0.55476,                0.07022,                 0.0001,                 0.0001,                 0.0001
                     79,                0.75251,                0.52473,                0.07189,                0.57411,                0.42833,                0.43735,                  0.265,                0.68183,                0.55495,                0.06999,                 0.0001,                 0.0001,                 0.0001
                     80,                 0.7482,                0.52557,                0.07186,                0.57839,                  0.428,                0.43875,                0.26587,                0.68211,                0.55412,                0.07014,                 0.0001,                 0.0001,                 0.0001
                     81,                0.74787,                0.52492,                0.07171,                0.57847,                0.42819,                0.43955,                0.26605,                0.68164,                0.55362,                0.07004,                 0.0001,                 0.0001,                 0.0001
                     82,                0.74588,                0.52594,                 0.0712,                 0.5832,                0.42644,                 0.4399,                 0.2663,                0.68028,                0.55397,                0.06995,                 0.0001,                 0.0001,                 0.0001
                     83,                0.74183,                0.52546,                0.07003,                0.58775,                0.42652,                0.44067,                0.26675,                0.67866,                0.55409,                0.06961,                 0.0001,                 0.0001,                 0.0001
                     84,                0.74459,                 0.5225,                0.07055,                0.59097,                0.42741,                0.44236,                0.26785,                0.67786,                0.55434,                0.06941,                 0.0001,                 0.0001,                 0.0001
