                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5762,                0.31501,                0.43418,                0.29234,                0.08278,                0.03676,                0.01209,                 1.2328,                0.50458,                0.25378,                 0.0001,                 0.0001,                 0.0001
                      2,                   1.08,                0.58428,                0.19741,                 0.2441,                0.18512,                0.12527,                0.05385,                0.94947,                0.61774,                0.16757,                 0.0001,                 0.0001,                 0.0001
                      3,                 0.9489,                0.61601,                0.15578,                0.30593,                0.23404,                0.17912,                0.07907,                 0.8536,                0.63165,                0.13744,                 0.0001,                 0.0001,                 0.0001
                      4,                0.88844,                 0.6142,                0.13966,                0.35106,                0.28621,                0.23786,                 0.1117,                0.80705,                0.62055,                0.12351,                 0.0001,                 0.0001,                 0.0001
                      5,                0.85397,                 0.6071,                0.12906,                0.37446,                0.30759,                0.26715,                0.12558,                0.77166,                0.61034,                 0.1154,                 0.0001,                 0.0001,                 0.0001
                      6,                0.82567,                0.60114,                0.12138,                0.41303,                0.32379,                0.29835,                0.14338,                0.75081,                 0.6036,                0.11035,                 0.0001,                 0.0001,                 0.0001
                      7,                0.81118,                0.59454,                0.11647,                0.43362,                0.33975,                0.31482,                0.15277,                0.73632,                0.60002,                0.10686,                 0.0001,                 0.0001,                 0.0001
                      8,                0.79022,                0.58909,                0.11179,                0.44844,                0.34763,                0.32887,                0.16092,                0.72827,                0.59621,                0.10508,                 0.0001,                 0.0001,                 0.0001
                      9,                0.77762,                0.58634,                0.10827,                 0.4559,                0.35642,                0.33961,                0.16713,                 0.7211,                0.59368,                0.10335,                 0.0001,                 0.0001,                 0.0001
                     10,                0.76761,                0.58279,                0.10693,                0.47109,                0.36248,                0.34957,                0.17342,                0.71467,                0.59112,                0.10206,                 0.0001,                 0.0001,                 0.0001
                     11,                0.75862,                0.57757,                0.10475,                 0.4857,                0.36656,                0.35781,                0.17908,                0.70865,                0.58789,                0.10078,                 0.0001,                 0.0001,                 0.0001
                     12,                0.75122,                 0.5748,                0.10276,                0.49482,                0.37595,                0.36927,                0.18576,                0.70256,                0.58497,                0.09931,                 0.0001,                 0.0001,                 0.0001
                     13,                0.74493,                 0.5709,                0.10033,                0.51363,                0.38502,                0.38056,                0.19246,                0.69747,                0.58169,                0.09836,                 0.0001,                 0.0001,                 0.0001
                     14,                0.73508,                0.57124,                0.09898,                0.52721,                0.38791,                0.39361,                0.19983,                0.69147,                0.57838,                0.09707,                 0.0001,                 0.0001,                 0.0001
                     15,                 0.7316,                0.56626,                0.09788,                0.54251,                0.39596,                0.40627,                0.20725,                0.68663,                0.57502,                0.09596,                 0.0001,                 0.0001,                 0.0001
                     16,                0.72485,                0.56597,                0.09727,                 0.5575,                 0.4009,                0.41652,                0.21324,                0.68129,                0.57244,                0.09469,                 0.0001,                 0.0001,                 0.0001
                     17,                0.72454,                0.56291,                0.09607,                0.56929,                 0.4076,                0.42715,                0.21903,                0.67673,                0.57006,                 0.0936,                 0.0001,                 0.0001,                 0.0001
                     18,                0.71814,                0.55941,                0.09446,                0.58294,                0.41483,                0.43631,                0.22419,                0.67199,                0.56781,                0.09254,                 0.0001,                 0.0001,                 0.0001
                     19,                0.71464,                0.56059,                0.09375,                0.59154,                0.42066,                 0.4461,                0.22989,                0.66782,                0.56585,                0.09165,                 0.0001,                 0.0001,                 0.0001
                     20,                0.71087,                0.55722,                0.09299,                0.59885,                0.43266,                0.45562,                0.23503,                0.66466,                0.56333,                0.09089,                 0.0001,                 0.0001,                 0.0001
                     21,                0.70509,                0.55843,                0.09268,                0.60153,                0.43387,                0.46026,                0.23801,                0.66169,                0.56139,                0.09038,                 0.0001,                 0.0001,                 0.0001
                     22,                0.70484,                0.55517,                0.09203,                0.60671,                0.44176,                 0.4676,                0.24291,                0.65866,                0.56009,                 0.0897,                 0.0001,                 0.0001,                 0.0001
                     23,                0.70118,                 0.5547,                0.09095,                 0.6081,                0.44703,                0.47323,                0.24625,                0.65627,                0.55804,                0.08934,                 0.0001,                 0.0001,                 0.0001
                     24,                0.69936,                0.55367,                0.09062,                0.61716,                 0.4515,                0.47929,                0.24972,                0.65444,                0.55594,                0.08893,                 0.0001,                 0.0001,                 0.0001
                     25,                0.69749,                0.55194,                0.09051,                0.62198,                0.45297,                0.48328,                0.25237,                0.65178,                0.55457,                 0.0884,                 0.0001,                 0.0001,                 0.0001
                     26,                0.69358,                0.55194,                0.08932,                0.63105,                0.45884,                0.48919,                 0.2559,                0.64944,                0.55378,                0.08803,                 0.0001,                 0.0001,                 0.0001
                     27,                 0.6925,                0.55037,                0.08889,                0.62537,                0.46579,                0.49317,                0.25881,                0.64755,                 0.5523,                0.08765,                 0.0001,                 0.0001,                 0.0001
                     28,                0.68878,                0.54934,                0.08843,                0.63855,                0.46507,                0.49744,                0.26151,                0.64613,                0.55087,                 0.0874,                 0.0001,                 0.0001,                 0.0001
                     29,                0.68698,                0.54809,                0.08815,                0.63297,                0.47443,                 0.5011,                0.26324,                0.64493,                0.54963,                 0.0871,                 0.0001,                 0.0001,                 0.0001
                     30,                 0.6843,                0.54797,                0.08769,                0.64055,                0.47343,                0.50361,                0.26527,                0.64344,                 0.5489,                0.08678,                 0.0001,                 0.0001,                 0.0001
                     31,                0.68301,                0.54659,                0.08704,                0.64381,                0.47452,                0.50711,                0.26708,                0.64233,                0.54767,                0.08666,                 0.0001,                 0.0001,                 0.0001
                     32,                0.68132,                0.54575,                0.08714,                0.64812,                0.47478,                0.51142,                0.26909,                0.64089,                0.54726,                0.08632,                 0.0001,                 0.0001,                 0.0001
                     33,                0.67945,                0.54593,                0.08578,                0.65161,                 0.4775,                0.51453,                0.27129,                0.63964,                0.54617,                0.08617,                 0.0001,                 0.0001,                 0.0001
                     34,                 0.6773,                0.54318,                0.08598,                0.65612,                0.47996,                0.51778,                0.27363,                0.63781,                0.54582,                0.08591,                 0.0001,                 0.0001,                 0.0001
                     35,                0.67894,                0.54275,                0.08565,                 0.6583,                0.48515,                0.52062,                0.27515,                0.63671,                0.54543,                0.08566,                 0.0001,                 0.0001,                 0.0001
                     36,                0.67534,                 0.5432,                 0.0854,                0.66183,                0.48791,                0.52229,                0.27584,                0.63567,                0.54504,                0.08548,                 0.0001,                 0.0001,                 0.0001
                     37,                0.67601,                0.54122,                0.08517,                0.66201,                0.48887,                0.52449,                0.27711,                0.63497,                0.54424,                0.08529,                 0.0001,                 0.0001,                 0.0001
                     38,                0.67427,                0.54134,                0.08486,                0.67022,                0.49201,                0.52782,                0.27853,                0.63384,                0.54359,                0.08525,                 0.0001,                 0.0001,                 0.0001
                     39,                0.67168,                0.54019,                0.08471,                0.66893,                0.49531,                0.53131,                0.28001,                0.63311,                0.54286,                0.08504,                 0.0001,                 0.0001,                 0.0001
                     40,                0.67089,                0.54076,                 0.0845,                0.66929,                0.49357,                0.53193,                0.28069,                0.63189,                0.54242,                0.08466,                 0.0001,                 0.0001,                 0.0001
                     41,                0.67013,                0.53988,                0.08407,                0.66336,                0.50182,                0.53478,                0.28284,                0.63052,                 0.5423,                0.08452,                 0.0001,                 0.0001,                 0.0001
                     42,                0.66865,                0.53949,                0.08321,                0.66783,                0.50081,                0.53659,                0.28426,                0.62945,                0.54201,                0.08423,                 0.0001,                 0.0001,                 0.0001
                     43,                  0.668,                0.53802,                0.08318,                0.66958,                0.50372,                0.53919,                0.28543,                0.62872,                0.54159,                0.08408,                 0.0001,                 0.0001,                 0.0001
                     44,                0.66679,                0.53787,                0.08338,                0.66765,                0.50657,                0.54015,                0.28595,                 0.6279,                0.54149,                0.08395,                 0.0001,                 0.0001,                 0.0001
                     45,                0.66426,                 0.5388,                0.08325,                 0.6714,                0.50932,                0.54303,                0.28689,                0.62734,                 0.5405,                0.08391,                 0.0001,                 0.0001,                 0.0001
