                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6581,                0.28614,                0.50543,                0.39505,                0.03294,                0.01772,                0.00495,                 1.5742,                0.30328,                0.41163,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4354,                 0.3646,                0.33923,                0.23045,                 0.0881,                0.05081,                0.01591,                 1.3899,                0.37159,                0.31291,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.3436,                0.39164,                0.29066,                0.27738,                0.12442,                0.09428,                0.03319,                 1.2253,                0.43695,                0.24562,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.2217,                0.44364,                0.24193,                0.24605,                0.17121,                 0.1157,                0.04327,                 1.1192,                0.48913,                0.21236,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.0942,                0.50762,                0.19422,                0.28113,                 0.2297,                0.16069,                0.06427,                0.97615,                0.56055,                0.16608,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0184,                0.54068,                0.16974,                0.28673,                0.25919,                0.19079,                 0.0806,                0.92327,                0.58221,                0.15088,                 0.0001,                 0.0001,                 0.0001
                      7,                0.98551,                0.52788,                0.15846,                0.34496,                0.27011,                0.22318,                 0.0953,                0.89564,                0.56566,                0.14336,                 0.0001,                 0.0001,                 0.0001
                      8,                0.95593,                0.52236,                0.15049,                0.37003,                0.28022,                0.23939,                0.10358,                0.87922,                0.55858,                0.13945,                 0.0001,                 0.0001,                 0.0001
                      9,                0.93679,                0.51831,                0.14406,                0.39999,                0.28091,                0.25194,                0.11048,                0.86847,                0.55249,                0.13685,                 0.0001,                 0.0001,                 0.0001
                     10,                0.91595,                0.51998,                 0.1402,                0.40747,                0.29211,                 0.2648,                 0.1165,                0.85752,                0.54912,                0.13429,                 0.0001,                 0.0001,                 0.0001
                     11,                0.89553,                 0.5239,                0.13525,                0.42803,                0.30243,                0.27912,                0.12407,                 0.8476,                0.54495,                0.13199,                 0.0001,                 0.0001,                 0.0001
                     12,                 0.8753,                0.53169,                0.12978,                0.43628,                0.31574,                0.29313,                0.13171,                0.83519,                 0.5442,                0.12899,                 0.0001,                 0.0001,                 0.0001
                     13,                0.84781,                0.54039,                0.12227,                0.45569,                0.32809,                0.30919,                0.13998,                0.82117,                0.54415,                0.12581,                 0.0001,                 0.0001,                 0.0001
                     14,                0.82888,                0.54644,                 0.1175,                 0.4725,                0.34243,                0.32467,                0.14954,                 0.8099,                0.54369,                0.12244,                 0.0001,                 0.0001,                 0.0001
                     15,                0.81314,                0.54938,                0.11407,                0.48413,                0.34948,                0.33719,                0.15642,                0.79631,                 0.5456,                0.11919,                 0.0001,                 0.0001,                 0.0001
