                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87454,                0.97208,                0.35217,                0.31267,                0.00905,                0.00787,                0.00227,                 1.3737,                0.52772,                0.88837,               0.025275,               7.48e-05,               7.48e-05
                      2,                0.56578,                0.95142,                0.19539,                0.54042,                0.31863,                0.27519,                0.16809,                0.48641,                0.80897,                0.17209,                 0.0001,                 0.0001,                 0.0001
                      3,                0.50469,                 0.7868,                0.16853,                0.39181,                0.39579,                0.35502,                0.22618,                0.47064,                 0.7338,                0.16762,                 0.0001,                 0.0001,                 0.0001
                      4,                0.47141,                 0.7267,                0.15274,                0.45296,                0.44112,                0.40398,                0.25634,                0.42948,                0.69089,                0.14718,                 0.0001,                 0.0001,                 0.0001
                      5,                0.45262,                0.69171,                0.14653,                0.50771,                0.48329,                0.47176,                0.29773,                0.41126,                0.64661,                 0.1404,                 0.0001,                 0.0001,                 0.0001
                      6,                 0.4424,                0.66339,                0.14088,                0.55197,                0.51991,                0.51338,                0.32621,                0.39275,                0.62132,                0.13175,                 0.0001,                 0.0001,                 0.0001
                      7,                0.43132,                0.64215,                0.13587,                0.57657,                0.52538,                0.54068,                0.34925,                0.38339,                0.59985,                0.12869,                 0.0001,                 0.0001,                 0.0001
                      8,                0.42254,                0.61508,                 0.1318,                0.64844,                0.56118,                  0.592,                0.38193,                0.37381,                0.56844,                0.12337,                 0.0001,                 0.0001,                 0.0001
                      9,                 0.4118,                0.60545,                0.12852,                0.64926,                0.58317,                0.61147,                0.39557,                0.36487,                0.56163,                0.11902,                 0.0001,                 0.0001,                 0.0001
                     10,                0.40802,                0.59099,                0.12658,                0.65851,                0.59935,                0.63512,                0.41123,                0.35955,                0.54663,                0.11694,                 0.0001,                 0.0001,                 0.0001
                     11,                0.40078,                0.57949,                0.12225,                0.68165,                0.62193,                0.65657,                0.42457,                0.35591,                0.53707,                0.11656,                 0.0001,                 0.0001,                 0.0001
                     12,                0.39665,                0.56138,                0.12077,                 0.7017,                0.62923,                0.67204,                0.43317,                0.35422,                 0.5297,                0.11515,                 0.0001,                 0.0001,                 0.0001
                     13,                0.38936,                0.56301,                0.11881,                0.71735,                0.63822,                0.67933,                0.43849,                0.35148,                0.52599,                0.11304,                 0.0001,                 0.0001,                 0.0001
                     14,                0.38091,                  0.552,                0.11598,                0.73179,                 0.6351,                0.68587,                0.44618,                0.34842,                  0.522,                0.11218,                 0.0001,                 0.0001,                 0.0001
                     15,                0.37872,                0.54148,                0.11384,                0.74131,                0.64835,                0.70156,                0.45529,                0.34658,                0.51569,                0.11097,                 0.0001,                 0.0001,                 0.0001
                     16,                0.37381,                0.53936,                0.11372,                0.75001,                0.65692,                 0.7137,                0.46271,                0.34482,                0.50946,                0.11054,                 0.0001,                 0.0001,                 0.0001
                     17,                0.37119,                0.52857,                0.11254,                0.76339,                0.65954,                0.72229,                0.46748,                 0.3439,                0.50606,                0.11078,                 0.0001,                 0.0001,                 0.0001
                     18,                0.36445,                0.52525,                0.10921,                0.76614,                0.67016,                0.72863,                0.47373,                0.34051,                0.50274,                0.10985,                 0.0001,                 0.0001,                 0.0001
                     19,                 0.3632,                0.51764,                0.10831,                0.77636,                  0.677,                0.73858,                0.48292,                0.33715,                0.49843,                0.10832,                 0.0001,                 0.0001,                 0.0001
                     20,                 0.3586,                0.51191,                0.10548,                0.78654,                0.68128,                0.74602,                0.48937,                0.33555,                0.49352,                0.10841,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.3552,                0.50812,                0.10503,                0.78938,                0.68563,                0.75034,                0.49316,                0.33241,                0.49022,                0.10746,                 0.0001,                 0.0001,                 0.0001
                     22,                0.34969,                0.50796,                0.10429,                0.79899,                0.69093,                0.75552,                0.50005,                0.32951,                0.48498,                0.10636,                 0.0001,                 0.0001,                 0.0001
                     23,                0.35006,                0.49912,                0.10356,                0.79863,                0.69762,                0.76406,                0.50666,                0.32527,                 0.4818,                0.10428,                 0.0001,                 0.0001,                 0.0001
                     24,                0.34387,                0.49703,                0.10167,                0.79635,                0.70358,                0.76956,                0.51068,                0.32256,                0.47991,                0.10353,                 0.0001,                 0.0001,                 0.0001
                     25,                0.34102,                0.49254,                0.10003,                0.80716,                0.71005,                0.77412,                0.51575,                0.31993,                0.47776,                0.10174,                 0.0001,                 0.0001,                 0.0001
                     26,                0.33813,                0.48874,                0.09806,                0.79692,                0.71916,                0.78147,                0.52112,                0.31709,                0.47367,                0.10013,                 0.0001,                 0.0001,                 0.0001
                     27,                0.33727,                0.48566,                0.09909,                0.81147,                0.72024,                0.78913,                0.52427,                0.31562,                 0.4686,                  0.101,                 0.0001,                 0.0001,                 0.0001
                     28,                0.33307,                0.48021,                0.09792,                0.82015,                0.72147,                0.79442,                 0.5307,                 0.3126,                0.46559,                0.09967,                 0.0001,                 0.0001,                 0.0001
                     29,                0.33069,                0.47656,                0.09796,                0.81798,                0.73444,                0.79756,                 0.5356,                 0.3112,                  0.461,                0.09904,                 0.0001,                 0.0001,                 0.0001
                     30,                0.33206,                0.47588,                0.09656,                0.83295,                0.73539,                 0.8033,                0.54174,                 0.3088,                 0.4575,                0.09843,                 0.0001,                 0.0001,                 0.0001
                     31,                0.32787,                0.47197,                0.09511,                0.85304,                0.73628,                0.81151,                0.54979,                0.30598,                0.45343,                0.09716,                 0.0001,                 0.0001,                 0.0001
                     32,                0.32256,                0.47021,                0.09384,                0.84825,                0.74397,                0.81456,                0.55382,                0.30393,                0.44983,                  0.097,                 0.0001,                 0.0001,                 0.0001
                     33,                0.32048,                0.46884,                  0.095,                0.85197,                0.74968,                0.81792,                0.55735,                0.30204,                0.44749,                0.09642,                 0.0001,                 0.0001,                 0.0001
                     34,                0.31613,                0.46294,                0.09236,                0.84837,                0.75191,                0.81933,                0.56158,                0.29943,                0.44422,                0.09543,                 0.0001,                 0.0001,                 0.0001
                     35,                0.31563,                0.45764,                0.09228,                0.85001,                0.75905,                0.82624,                0.56811,                0.29656,                0.44276,                0.09409,                 0.0001,                 0.0001,                 0.0001
                     36,                0.31472,                0.46097,                0.09188,                0.85407,                0.76355,                0.82822,                0.57154,                0.29551,                0.43879,                0.09362,                 0.0001,                 0.0001,                 0.0001
                     37,                0.31462,                0.45773,                 0.0912,                0.85121,                0.76539,                0.83025,                0.57393,                0.29386,                0.43789,                0.09336,                 0.0001,                 0.0001,                 0.0001
                     38,                0.31139,                0.44918,                0.09028,                0.86376,                0.76084,                0.83146,                0.57548,                 0.2932,                0.43497,                0.09408,                 0.0001,                 0.0001,                 0.0001
                     39,                0.31011,                 0.4474,                0.09009,                0.86275,                0.76455,                0.83544,                0.57976,                0.29154,                0.43267,                0.09359,                 0.0001,                 0.0001,                 0.0001
                     40,                0.30829,                0.44474,                0.08894,                0.86012,                0.77087,                0.83643,                0.58221,                0.28911,                0.43111,                0.09263,                 0.0001,                 0.0001,                 0.0001
                     41,                0.30481,                0.44663,                0.08815,                 0.8623,                0.77918,                 0.8407,                0.58567,                0.28702,                0.43012,                0.09175,                 0.0001,                 0.0001,                 0.0001
                     42,                0.30595,                0.44264,                0.08903,                0.85467,                0.78413,                0.84373,                0.58923,                0.28518,                0.42818,                0.09082,                 0.0001,                 0.0001,                 0.0001
                     43,                0.30367,                0.43833,                0.08771,                0.86359,                0.78695,                0.84777,                0.59368,                0.28247,                0.42641,                0.09047,                 0.0001,                 0.0001,                 0.0001
                     44,                0.29893,                0.43837,                0.08761,                0.86925,                0.78721,                0.85018,                0.59634,                0.28169,                0.42401,                0.09011,                 0.0001,                 0.0001,                 0.0001
                     45,                0.29671,                0.43512,                0.08497,                0.87509,                0.78576,                0.85286,                0.59886,                0.28052,                0.42169,                0.08942,                 0.0001,                 0.0001,                 0.0001
                     46,                0.29482,                 0.4341,                0.08608,                0.87483,                0.79367,                0.85719,                0.60165,                0.27918,                0.41897,                0.08909,                 0.0001,                 0.0001,                 0.0001
                     47,                 0.2956,                0.43193,                0.08572,                0.87341,                0.79506,                0.85664,                0.60398,                0.27801,                0.41793,                0.08865,                 0.0001,                 0.0001,                 0.0001
                     48,                0.29083,                0.42834,                0.08477,                0.86783,                0.79545,                0.85542,                0.60592,                0.27649,                0.41623,                0.08854,                 0.0001,                 0.0001,                 0.0001
                     49,                0.29224,                  0.426,                0.08435,                0.87094,                0.80374,                0.86166,                0.61237,                0.27439,                0.41334,                0.08801,                 0.0001,                 0.0001,                 0.0001
                     50,                0.28881,                0.42929,                0.08322,                0.86523,                0.80594,                0.86838,                0.61842,                 0.2718,                0.41242,                0.08729,                 0.0001,                 0.0001,                 0.0001
