                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8331,                0.27323,                0.46604,                0.42287,                0.02389,                0.01942,                0.00481,                 1.6388,                0.33468,                0.33861,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4411,                0.46571,                0.26262,                0.20753,                0.11762,                0.09431,                0.04478,                 1.1967,                0.54153,                0.19485,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2351,                0.54382,                0.18697,                0.26781,                0.14627,                0.14996,                0.07579,                  1.096,                 0.5548,                0.16259,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1602,                0.55094,                0.16284,                0.28024,                 0.1809,                0.16174,                0.08406,                 1.0409,                0.56364,                0.14158,                 0.0001,                 0.0001,                 0.0001
                      5,                  1.116,                0.55044,                0.14933,                0.33111,                0.20039,                0.18252,                 0.0974,                 1.0063,                0.56196,                0.13502,                 0.0001,                 0.0001,                 0.0001
                      6,                  1.081,                0.55193,                0.14067,                0.31656,                0.22426,                0.19869,                0.10642,                0.96065,                0.56364,                0.12373,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0551,                0.55318,                0.13395,                0.33929,                0.24395,                0.22022,                0.11905,                0.93268,                0.56773,                0.11603,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0354,                0.55051,                0.12745,                0.36656,                0.25365,                 0.2327,                0.12878,                0.90632,                 0.5698,                0.11146,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0177,                 0.5492,                0.12394,                0.37698,                0.26282,                0.24388,                0.13431,                0.89562,                0.56664,                0.10909,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0014,                0.54977,                0.11919,                 0.3771,                0.26696,                0.25049,                0.13882,                0.88613,                0.56756,                0.10637,                 0.0001,                 0.0001,                 0.0001
                     11,                0.99329,                0.54698,                0.11786,                0.38653,                0.27198,                0.25862,                0.14377,                 0.8762,                0.56733,                0.10389,                 0.0001,                 0.0001,                 0.0001
                     12,                0.97168,                0.55005,                 0.1136,                0.39091,                0.27568,                0.26288,                0.14662,                0.86923,                0.56722,                0.10221,                 0.0001,                 0.0001,                 0.0001
                     13,                0.96631,                0.54959,                0.11021,                0.39508,                0.28397,                 0.2685,                0.15056,                0.86305,                0.56729,                 0.1006,                 0.0001,                 0.0001,                 0.0001
                     14,                0.95564,                 0.5483,                0.11001,                0.40955,                 0.2863,                0.27383,                 0.1538,                 0.8572,                0.56812,                0.09986,                 0.0001,                 0.0001,                 0.0001
                     15,                0.94241,                0.54871,                0.10574,                0.41691,                0.28801,                0.27895,                0.15688,                 0.8522,                0.56846,                0.09896,                 0.0001,                 0.0001,                 0.0001
                     16,                0.93608,                0.54621,                0.10523,                0.42244,                0.29196,                0.28428,                0.16013,                0.84598,                0.56884,                0.09777,                 0.0001,                 0.0001,                 0.0001
                     17,                0.92648,                0.54814,                0.10428,                0.42064,                0.29503,                0.28739,                0.16251,                0.84122,                0.56816,                0.09689,                 0.0001,                 0.0001,                 0.0001
                     18,                0.91854,                  0.547,                0.10235,                0.42568,                0.29756,                0.29109,                0.16507,                0.83734,                0.56693,                0.09609,                 0.0001,                 0.0001,                 0.0001
                     19,                0.91494,                0.54561,                0.10093,                 0.4257,                0.30333,                0.29555,                0.16839,                0.83194,                0.56672,                0.09514,                 0.0001,                 0.0001,                 0.0001
                     20,                 0.9073,                0.54695,                  0.099,                0.43263,                0.30663,                0.30122,                0.17195,                0.82629,                0.56643,                0.09416,                 0.0001,                 0.0001,                 0.0001
                     21,                0.90006,                0.54544,                0.09881,                0.44699,                0.30822,                0.30724,                0.17551,                0.82112,                0.56573,                0.09339,                 0.0001,                 0.0001,                 0.0001
                     22,                 0.8969,                0.54473,                 0.0971,                0.44757,                0.31649,                0.31311,                 0.1792,                0.81688,                 0.5652,                0.09295,                 0.0001,                 0.0001,                 0.0001
                     23,                0.89094,                0.54402,                0.09689,                0.45582,                0.31955,                0.31753,                 0.1821,                0.81154,                0.56463,                0.09213,                 0.0001,                 0.0001,                 0.0001
                     24,                0.88885,                0.54185,                0.09563,                0.45838,                0.31995,                0.32075,                0.18369,                0.80581,                0.56441,                0.09093,                 0.0001,                 0.0001,                 0.0001
                     25,                0.88685,                0.54161,                0.09469,                0.46593,                0.32326,                0.32514,                0.18657,                0.80051,                0.56405,                0.09001,                 0.0001,                 0.0001,                 0.0001
                     26,                0.87812,                 0.5433,                0.09337,                0.47399,                0.32503,                0.32932,                0.18913,                0.79462,                0.56423,                0.08898,                 0.0001,                 0.0001,                 0.0001
                     27,                0.87459,                0.54065,                0.09241,                 0.4739,                0.33068,                0.33346,                0.19219,                0.79004,                0.56365,                0.08812,                 0.0001,                 0.0001,                 0.0001
                     28,                0.86409,                0.54238,                0.09116,                0.47378,                0.33559,                0.33846,                0.19519,                0.78707,                0.56297,                0.08774,                 0.0001,                 0.0001,                 0.0001
                     29,                0.86494,                 0.5402,                0.09038,                0.47792,                 0.3395,                0.34342,                 0.1983,                0.78256,                0.56317,                0.08659,                 0.0001,                 0.0001,                 0.0001
                     30,                0.86385,                 0.5387,                 0.0902,                0.48221,                0.34351,                0.34672,                0.20076,                0.77877,                 0.5627,                0.08607,                 0.0001,                 0.0001,                 0.0001
                     31,                0.85363,                0.54031,                0.08937,                0.48743,                0.34648,                0.35056,                0.20304,                0.77457,                 0.5629,                 0.0851,                 0.0001,                 0.0001,                 0.0001
                     32,                0.85115,                0.54008,                0.08889,                0.48765,                0.34853,                0.35254,                0.20469,                0.77171,                0.56207,                0.08432,                 0.0001,                 0.0001,                 0.0001
                     33,                0.85315,                0.53797,                0.08766,                0.49215,                0.35119,                0.35619,                0.20677,                0.76921,                0.56095,                0.08398,                 0.0001,                 0.0001,                 0.0001
                     34,                0.84654,                0.53725,                0.08747,                0.49606,                0.35101,                0.35868,                0.20868,                0.76581,                0.56074,                0.08338,                 0.0001,                 0.0001,                 0.0001
                     35,                0.83861,                0.53894,                0.08634,                0.49913,                0.35264,                0.36162,                0.21053,                 0.7626,                0.56024,                 0.0828,                 0.0001,                 0.0001,                 0.0001
                     36,                0.83886,                0.53687,                0.08591,                0.50421,                0.35493,                0.36559,                0.21251,                0.75945,                0.55994,                0.08225,                 0.0001,                 0.0001,                 0.0001
                     37,                0.84417,                0.53416,                0.08758,                0.50537,                0.35827,                0.36849,                0.21428,                0.75644,                0.55983,                0.08188,                 0.0001,                 0.0001,                 0.0001
                     38,                0.83619,                0.53552,                0.08533,                0.50702,                0.36194,                0.37099,                0.21632,                0.75404,                0.55948,                0.08118,                 0.0001,                 0.0001,                 0.0001
                     39,                0.83328,                0.53587,                0.08508,                0.50602,                0.36387,                0.37339,                0.21805,                0.75172,                0.55881,                0.08077,                 0.0001,                 0.0001,                 0.0001
                     40,                0.83142,                0.53476,                0.08482,                 0.5101,                0.36759,                0.37685,                0.22057,                0.74996,                0.55808,                0.08063,                 0.0001,                 0.0001,                 0.0001
                     41,                0.82458,                 0.5349,                0.08318,                0.51322,                0.36822,                0.37821,                0.22123,                0.74748,                0.55746,                0.07994,                 0.0001,                 0.0001,                 0.0001
                     42,                0.82304,                0.53468,                0.08281,                 0.5164,                0.36801,                0.38039,                0.22292,                0.74545,                0.55728,                0.07942,                 0.0001,                 0.0001,                 0.0001
                     43,                0.82095,                0.53318,                0.08256,                0.51941,                0.36954,                0.38328,                0.22438,                0.74351,                0.55695,                0.07941,                 0.0001,                 0.0001,                 0.0001
                     44,                0.81857,                0.53238,                0.08174,                0.51901,                 0.3733,                0.38535,                0.22566,                0.74086,                0.55685,                0.07901,                 0.0001,                 0.0001,                 0.0001
                     45,                0.81924,                0.53209,                0.08254,                0.52483,                0.37302,                0.38683,                0.22677,                0.73889,                0.55618,                0.07877,                 0.0001,                 0.0001,                 0.0001
                     46,                0.82138,                 0.5315,                0.08258,                0.51963,                0.37548,                0.38698,                0.22702,                0.73777,                 0.5559,                0.07842,                 0.0001,                 0.0001,                 0.0001
                     47,                0.81788,                0.53195,                0.08197,                 0.5271,                0.37415,                0.38974,                0.22863,                0.73619,                0.55578,                0.07829,                 0.0001,                 0.0001,                 0.0001
