                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8605,                0.28063,                0.47125,                0.11694,                0.02926,                0.01476,                0.00339,                 1.7067,                0.35478,                0.35377,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.5007,                0.45813,                0.27315,                 0.1991,                0.09948,                0.07106,                0.03564,                 1.2634,                 0.5482,                0.22342,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2807,                0.56309,                0.20471,                0.29924,                0.13102,                0.12043,                0.06592,                 1.1371,                0.58061,                0.16975,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1837,                0.58083,                 0.1751,                0.23963,                0.17449,                0.15517,                0.08394,                 1.0788,                0.58089,                0.15482,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1241,                0.58528,                0.15831,                0.28741,                0.19725,                0.18098,                0.10081,                 1.0051,                0.59292,                0.14084,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0863,                0.58682,                0.14839,                0.29928,                 0.2128,                0.19352,                0.10955,                0.97661,                0.58932,                0.13487,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0574,                0.58683,                0.14158,                0.33881,                0.22707,                0.21553,                0.12449,                0.94346,                0.58912,                 0.1273,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0356,                0.58443,                0.13479,                0.37104,                0.24408,                0.23186,                0.13537,                0.91028,                0.59199,                0.11936,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0138,                 0.5827,                0.13039,                0.36825,                0.25615,                0.24323,                0.14241,                0.89303,                0.59095,                0.11561,                 0.0001,                 0.0001,                 0.0001
                     10,                 0.9947,                0.58067,                  0.125,                  0.378,                0.26318,                0.25363,                 0.1488,                0.88127,                0.59056,                0.11243,                 0.0001,                 0.0001,                 0.0001
                     11,                0.97441,                0.58202,                0.12063,                0.38151,                0.27078,                0.26143,                0.15401,                0.86847,                0.59058,                0.10938,                 0.0001,                 0.0001,                 0.0001
                     12,                 0.9573,                0.58212,                0.11756,                0.39337,                0.27422,                0.26909,                0.15944,                0.85846,                0.59068,                0.10721,                 0.0001,                 0.0001,                 0.0001
                     13,                 0.9464,                0.58114,                0.11367,                0.40652,                0.27392,                0.27238,                0.16159,                0.85034,                0.59109,                0.10568,                 0.0001,                 0.0001,                 0.0001
                     14,                0.93699,                0.57876,                0.11285,                0.40443,                0.28436,                0.27969,                0.16579,                0.84427,                0.59042,                0.10464,                 0.0001,                 0.0001,                 0.0001
                     15,                0.92385,                0.57642,                0.10982,                0.40915,                0.29034,                0.28604,                0.17081,                0.83878,                   0.59,                0.10378,                 0.0001,                 0.0001,                 0.0001
                     16,                0.90951,                0.57753,                0.10706,                0.41368,                0.29401,                0.29134,                0.17496,                0.83225,                0.59007,                0.10229,                 0.0001,                 0.0001,                 0.0001
                     17,                0.90175,                0.57678,                0.10637,                0.42233,                0.29841,                0.29804,                0.17892,                0.82712,                0.58975,                0.10153,                 0.0001,                 0.0001,                 0.0001
                     18,                0.88877,                0.57723,                0.10303,                0.42681,                0.30087,                0.30228,                 0.1822,                0.82244,                0.58858,                 0.1008,                 0.0001,                 0.0001,                 0.0001
                     19,                0.88346,                0.57552,                0.10131,                0.43078,                0.30567,                0.30786,                0.18621,                0.81503,                0.58863,                 0.0998,                 0.0001,                 0.0001,                 0.0001
                     20,                0.88246,                0.57182,                0.10061,                0.43795,                0.31051,                 0.3129,                0.18999,                0.80858,                0.58792,                0.09849,                 0.0001,                 0.0001,                 0.0001
                     21,                0.87064,                0.57348,                0.09999,                0.44596,                0.31344,                0.31964,                0.19448,                0.80053,                 0.5879,                0.09685,                 0.0001,                 0.0001,                 0.0001
                     22,                0.86726,                0.57148,                0.09886,                 0.4498,                0.31718,                0.32447,                0.19849,                 0.7931,                0.58788,                0.09556,                 0.0001,                 0.0001,                 0.0001
                     23,                0.85875,                0.57121,                0.09726,                0.45279,                0.31984,                0.32917,                0.20195,                0.78641,                0.58699,                0.09465,                 0.0001,                 0.0001,                 0.0001
                     24,                0.85409,                0.56985,                0.09621,                0.46036,                0.32653,                0.33532,                0.20649,                  0.782,                0.58555,                0.09407,                 0.0001,                 0.0001,                 0.0001
                     25,                0.84912,                0.56881,                0.09402,                0.46331,                0.33306,                0.34074,                0.21007,                0.77529,                0.58575,                 0.0929,                 0.0001,                 0.0001,                 0.0001
                     26,                0.84067,                0.57057,                0.09286,                0.47002,                0.33816,                0.34554,                0.21354,                0.76819,                0.58566,                0.09126,                 0.0001,                 0.0001,                 0.0001
                     27,                0.83403,                 0.5691,                0.09143,                0.47733,                0.34429,                0.35086,                0.21723,                0.76341,                0.58485,                0.09046,                 0.0001,                 0.0001,                 0.0001
                     28,                0.82674,                0.56931,                0.09141,                0.48173,                0.34592,                0.35477,                0.21961,                0.75916,                0.58413,                0.08976,                 0.0001,                 0.0001,                 0.0001
                     29,                0.82572,                0.56706,                0.09011,                 0.4853,                0.34833,                0.35911,                0.22254,                0.75311,                0.58294,                0.08861,                 0.0001,                 0.0001,                 0.0001
                     30,                0.82232,                0.56667,                0.08966,                0.49056,                 0.3514,                0.36381,                0.22521,                0.75042,                0.58169,                 0.0877,                 0.0001,                 0.0001,                 0.0001
                     31,                0.81227,                0.56703,                 0.0879,                0.49811,                0.35562,                0.36867,                0.22899,                0.74568,                0.58158,                0.08657,                 0.0001,                 0.0001,                 0.0001
                     32,                0.81232,                0.56634,                 0.0881,                 0.4992,                0.35662,                0.37107,                0.23093,                0.74255,                0.58084,                0.08611,                 0.0001,                 0.0001,                 0.0001
                     33,                0.81052,                0.56649,                0.08662,                0.50261,                0.36031,                0.37489,                0.23307,                 0.7383,                0.58065,                0.08528,                 0.0001,                 0.0001,                 0.0001
                     34,                0.79888,                0.56638,                0.08521,                0.50017,                0.36246,                0.37701,                0.23463,                0.73268,                0.58136,                0.08384,                 0.0001,                 0.0001,                 0.0001
                     35,                0.79573,                0.56586,                0.08541,                0.50546,                 0.3671,                0.38182,                0.23753,                0.72878,                0.58118,                0.08334,                 0.0001,                 0.0001,                 0.0001
                     36,                0.79102,                0.56642,                0.08344,                 0.5107,                0.36977,                0.38379,                0.23871,                0.72557,                0.58022,                0.08275,                 0.0001,                 0.0001,                 0.0001
                     37,                0.79575,                0.56348,                 0.0849,                0.51568,                0.37275,                0.38824,                0.24129,                0.72123,                0.58029,                0.08185,                 0.0001,                 0.0001,                 0.0001
                     38,                0.78637,                0.56416,                0.08261,                0.51747,                0.37513,                0.39145,                0.24318,                0.71817,                0.57962,                0.08108,                 0.0001,                 0.0001,                 0.0001
                     39,                0.78227,                0.56323,                0.08232,                0.52462,                0.37756,                0.39561,                0.24601,                0.71378,                0.57923,                 0.0802,                 0.0001,                 0.0001,                 0.0001
                     40,                0.78078,                0.56242,                0.08212,                0.52674,                0.38271,                0.39842,                0.24808,                0.70917,                0.57923,                0.07921,                 0.0001,                 0.0001,                 0.0001
                     41,                0.77437,                0.56334,                0.08082,                 0.5265,                0.38563,                0.39945,                0.24882,                0.70698,                0.57876,                0.07912,                 0.0001,                 0.0001,                 0.0001
                     42,                0.77483,                0.56148,                0.08062,                0.52984,                0.38803,                0.40331,                0.25142,                0.70377,                0.57804,                0.07845,                 0.0001,                 0.0001,                 0.0001
                     43,                0.77367,                 0.5601,                0.08066,                0.53503,                0.38793,                0.40389,                0.25179,                0.70102,                0.57775,                0.07761,                 0.0001,                 0.0001,                 0.0001
                     44,                0.77282,                0.56022,                0.08042,                0.53593,                0.38968,                0.40695,                0.25351,                0.69717,                 0.5781,                0.07675,                 0.0001,                 0.0001,                 0.0001
                     45,                0.76936,                0.55973,                0.08041,                0.53943,                0.39068,                0.40801,                0.25438,                0.69377,                0.57781,                0.07634,                 0.0001,                 0.0001,                 0.0001
                     46,                0.77064,                0.55875,                0.08021,                 0.5366,                 0.3945,                0.41138,                0.25665,                0.69193,                0.57774,                0.07619,                 0.0001,                 0.0001,                 0.0001
                     47,                0.77024,                0.55839,                0.08013,                 0.5422,                0.39706,                  0.413,                0.25754,                0.68875,                0.57706,                 0.0758,                 0.0001,                 0.0001,                 0.0001
                     48,                0.75911,                0.56005,                 0.0791,                0.53977,                0.39747,                0.41563,                0.25915,                0.68756,                0.57644,                 0.0758,                 0.0001,                 0.0001,                 0.0001
                     49,                0.75747,                0.55783,                0.07736,                0.54469,                0.40016,                0.41821,                0.26067,                0.68355,                0.57712,                0.07484,                 0.0001,                 0.0001,                 0.0001
                     50,                0.75499,                0.55856,                0.07828,                0.54105,                0.40558,                0.41953,                0.26155,                0.68244,                0.57649,                0.07464,                 0.0001,                 0.0001,                 0.0001
                     51,                0.75465,                0.55737,                0.07646,                 0.5493,                0.40287,                0.42141,                0.26279,                0.68114,                  0.576,                0.07478,                 0.0001,                 0.0001,                 0.0001
                     52,                0.76175,                0.55589,                0.07817,                0.54745,                 0.4066,                0.42284,                0.26359,                0.67814,                0.57626,                0.07393,                 0.0001,                 0.0001,                 0.0001
                     53,                0.75159,                0.55687,                0.07678,                0.54856,                0.40842,                0.42537,                0.26504,                0.67522,                0.57697,                0.07349,                 0.0001,                 0.0001,                 0.0001
                     54,                0.75237,                0.55536,                0.07575,                0.55269,                0.40943,                0.42703,                0.26605,                0.67332,                0.57653,                0.07312,                 0.0001,                 0.0001,                 0.0001
                     55,                0.74733,                0.55594,                0.07575,                0.55462,                 0.4097,                0.42883,                0.26742,                 0.6716,                0.57636,                0.07291,                 0.0001,                 0.0001,                 0.0001
                     56,                0.74318,                0.55745,                0.07423,                0.54914,                0.41564,                0.43072,                0.26842,                0.66946,                 0.5766,                0.07254,                 0.0001,                 0.0001,                 0.0001
                     57,                0.74453,                0.55493,                0.07562,                 0.5512,                0.41419,                0.43099,                0.26855,                0.66772,                0.57628,                0.07263,                 0.0001,                 0.0001,                 0.0001
                     58,                0.73815,                0.55553,                0.07411,                0.55158,                0.41811,                0.43308,                0.26999,                0.66639,                0.57665,                0.07233,                 0.0001,                 0.0001,                 0.0001
                     59,                0.74008,                0.55379,                0.07453,                0.54789,                0.42032,                0.43472,                0.27105,                0.66485,                0.57611,                 0.0719,                 0.0001,                 0.0001,                 0.0001
