                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8054,                0.29114,                0.45276,                0.33529,                0.03697,                0.03028,                0.00806,                 1.5184,                0.40805,                0.30704,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4108,                 0.4796,                0.24842,                0.14316,                0.12023,                0.09451,                0.04241,                 1.1978,                0.54294,                0.18653,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2416,                0.53462,                0.18752,                0.21924,                0.14339,                 0.1304,                0.06617,                 1.0943,                0.55199,                0.15499,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1648,                0.54584,                0.16163,                0.26971,                0.18196,                0.16313,                0.08344,                 1.0444,                0.55664,                0.13909,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1149,                0.54808,                0.14841,                0.31289,                0.20685,                0.18474,                0.09819,                  0.992,                0.56259,                0.12951,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0763,                0.54985,                0.13813,                0.33307,                0.22861,                0.21105,                0.11508,                0.96419,                0.56054,                0.12371,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0482,                0.55107,                0.13106,                0.34522,                0.24939,                0.22926,                0.12689,                 0.9316,                0.56566,                0.11429,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0279,                0.54966,                0.12431,                0.37084,                0.25313,                0.24158,                 0.1358,                0.90648,                0.56783,                0.10961,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0074,                0.54851,                 0.1213,                0.38362,                0.26451,                0.25302,                 0.1439,                0.89211,                0.56512,                0.10667,                 0.0001,                 0.0001,                 0.0001
                     10,                 0.9898,                0.54967,                0.11624,                0.39032,                0.27222,                0.26189,                0.14958,                0.87867,                0.56551,                0.10418,                 0.0001,                 0.0001,                 0.0001
                     11,                0.97728,                0.54954,                0.11328,                0.39342,                0.28165,                0.26945,                0.15443,                0.86927,                 0.5665,                0.10254,                 0.0001,                 0.0001,                 0.0001
                     12,                0.96001,                0.55251,                0.11054,                0.39959,                 0.2834,                0.27548,                0.15874,                0.86155,                0.56609,                0.10045,                 0.0001,                 0.0001,                 0.0001
                     13,                0.95199,                0.54932,                0.10634,                0.40654,                0.28788,                0.28033,                0.16191,                0.85679,                0.56587,                0.09957,                 0.0001,                 0.0001,                 0.0001
                     14,                0.94105,                0.54952,                0.10608,                0.41478,                0.29156,                0.28631,                0.16592,                0.85105,                0.56557,                0.09837,                 0.0001,                 0.0001,                 0.0001
                     15,                0.92599,                0.55041,                0.10254,                0.42089,                0.29455,                0.29025,                0.16904,                0.84564,                0.56559,                0.09742,                 0.0001,                 0.0001,                 0.0001
                     16,                0.91872,                0.54932,                0.10154,                0.42307,                0.29809,                0.29503,                0.17246,                0.84102,                0.56504,                0.09713,                 0.0001,                 0.0001,                 0.0001
                     17,                0.90761,                0.55022,                0.09964,                0.42956,                0.30281,                0.30109,                 0.1761,                0.83504,                0.56477,                0.09601,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9003,                0.55077,                0.09796,                0.43247,                0.30685,                0.30718,                0.18032,                 0.8303,                0.56458,                0.09528,                 0.0001,                 0.0001,                 0.0001
                     19,                0.89412,                0.54854,                0.09609,                0.43069,                0.31254,                 0.3119,                0.18342,                0.82268,                0.56493,                0.09393,                 0.0001,                 0.0001,                 0.0001
