                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8528,                 0.2719,                0.48169,                0.24937,                0.02687,                0.04467,                0.01182,                 1.6446,                0.37648,                0.36301,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4511,                0.45866,                0.26205,                0.24002,                0.11078,                0.09202,                0.04017,                 1.2431,                0.52303,                0.19782,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2725,                0.52081,                0.19453,                0.29475,                0.14012,                0.12057,                0.06096,                 1.1374,                0.54917,                0.17014,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1876,                0.53908,                0.16654,                0.26322,                0.18049,                0.15833,                 0.0807,                 1.0621,                0.55584,                 0.1439,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1371,                0.54319,                 0.1522,                0.29773,                0.21107,                0.19165,                0.10115,                 1.0068,                0.55686,                 0.1347,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0975,                0.54673,                0.14252,                0.33919,                0.23579,                 0.2143,                0.11452,                0.97697,                 0.5579,                0.12691,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0716,                0.54688,                0.13566,                0.34716,                0.24894,                 0.2284,                0.12354,                0.94282,                0.56288,                 0.1202,                 0.0001,                 0.0001,                 0.0001
                      8,                  1.049,                0.54546,                0.12812,                0.36541,                0.26007,                 0.2422,                0.13285,                0.92145,                0.56528,                0.11468,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0287,                0.54576,                  0.125,                0.38067,                0.26663,                0.25357,                0.14011,                0.90384,                0.56422,                 0.1116,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0112,                0.54627,                0.11962,                0.39033,                0.27602,                0.26313,                 0.1452,                0.89338,                0.56497,                0.10862,                 0.0001,                 0.0001,                 0.0001
                     11,                0.99864,                0.54648,                 0.1172,                0.39693,                0.27997,                0.26855,                0.14917,                0.88517,                0.56457,                0.10686,                 0.0001,                 0.0001,                 0.0001
                     12,                0.97927,                0.54792,                0.11384,                0.40172,                 0.2825,                0.27266,                0.15175,                0.87828,                 0.5644,                0.10516,                 0.0001,                 0.0001,                 0.0001
                     13,                0.97329,                0.54687,                0.11071,                0.41548,                0.28454,                0.27707,                0.15462,                0.87249,                0.56448,                0.10395,                 0.0001,                 0.0001,                 0.0001
                     14,                0.96308,                0.54581,                0.11021,                0.41535,                0.28757,                0.28208,                0.15773,                 0.8671,                0.56398,                0.10237,                 0.0001,                 0.0001,                 0.0001
                     15,                0.95071,                0.54595,                0.10682,                0.41736,                 0.2918,                0.28712,                0.16103,                0.86126,                0.56393,                0.10131,                 0.0001,                 0.0001,                 0.0001
                     16,                0.93973,                 0.5451,                0.10447,                0.42767,                0.29733,                0.29227,                0.16456,                0.85519,                0.56411,                0.10061,                 0.0001,                 0.0001,                 0.0001
                     17,                0.93185,                0.54539,                0.10423,                0.43256,                  0.303,                0.29739,                0.16834,                0.84982,                0.56344,                0.09978,                 0.0001,                 0.0001,                 0.0001
                     18,                0.92482,                0.54518,                0.10207,                0.43438,                0.30797,                0.30181,                0.17156,                0.84347,                0.56394,                0.09856,                 0.0001,                 0.0001,                 0.0001
                     19,                0.91967,                0.54403,                0.10069,                0.43899,                0.31116,                0.30787,                0.17516,                0.83937,                0.56336,                0.09782,                 0.0001,                 0.0001,                 0.0001
                     20,                0.91528,                0.54386,                0.09887,                0.45158,                0.31268,                0.31341,                0.17819,                 0.8344,                0.56257,                  0.097,                 0.0001,                 0.0001,                 0.0001
                     21,                0.90622,                0.54263,                0.09869,                0.45453,                0.31736,                0.31797,                0.18154,                0.82801,                0.56206,                 0.0958,                 0.0001,                 0.0001,                 0.0001
                     22,                0.90745,                0.54135,                0.09861,                0.45998,                0.32055,                0.32325,                 0.1848,                0.82299,                0.56184,                0.09525,                 0.0001,                 0.0001,                 0.0001
                     23,                0.89598,                0.54094,                0.09702,                0.46927,                0.32177,                  0.327,                0.18693,                0.81811,                0.56155,                0.09431,                 0.0001,                 0.0001,                 0.0001
                     24,                0.89414,                0.53892,                0.09611,                0.47077,                0.32668,                0.33122,                 0.1893,                 0.8134,                0.56111,                 0.0936,                 0.0001,                 0.0001,                 0.0001
                     25,                0.89385,                0.53861,                0.09537,                0.48201,                0.32974,                0.33465,                0.19171,                0.80924,                0.56028,                0.09309,                 0.0001,                 0.0001,                 0.0001
                     26,                0.88566,                0.53933,                0.09372,                0.48705,                0.33089,                0.33849,                0.19415,                0.80402,                0.56051,                0.09215,                 0.0001,                 0.0001,                 0.0001
                     27,                0.88071,                0.53795,                 0.0928,                0.48848,                0.33332,                0.34181,                0.19632,                 0.7995,                0.56026,                0.09111,                 0.0001,                 0.0001,                 0.0001
                     28,                0.87104,                0.53837,                0.09219,                0.48501,                0.33799,                0.34541,                 0.1986,                0.79567,                0.55893,                0.09058,                 0.0001,                 0.0001,                 0.0001
                     29,                0.87124,                0.53705,                0.09076,                0.49221,                0.33938,                0.34961,                0.20107,                 0.7924,                 0.5578,                0.08978,                 0.0001,                 0.0001,                 0.0001
                     30,                 0.8695,                  0.536,                0.09072,                0.49393,                0.34214,                0.35321,                0.20322,                 0.7891,                0.55669,                0.08921,                 0.0001,                 0.0001,                 0.0001
                     31,                0.85788,                0.53837,                0.08931,                0.50127,                0.34442,                0.35647,                 0.2055,                0.78366,                0.55703,                0.08833,                 0.0001,                 0.0001,                 0.0001
                     32,                0.85733,                0.53758,                0.08913,                0.49894,                0.34808,                0.35929,                0.20759,                0.77976,                0.55722,                0.08744,                 0.0001,                 0.0001,                 0.0001
                     33,                0.85985,                0.53631,                0.08844,                0.50449,                0.34789,                0.36183,                0.20958,                0.77623,                0.55714,                0.08701,                 0.0001,                 0.0001,                 0.0001
                     34,                0.85234,                0.53571,                0.08768,                 0.5106,                0.34873,                0.36496,                0.21168,                0.77411,                 0.5565,                0.08635,                 0.0001,                 0.0001,                 0.0001
                     35,                0.84578,                0.53666,                0.08693,                0.50998,                0.35255,                0.36763,                0.21348,                 0.7711,                0.55634,                0.08579,                 0.0001,                 0.0001,                 0.0001
