                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9064,                0.24251,                0.51467,                0.31321,                0.02538,                0.01091,                0.00224,                 1.7406,                0.31726,                 0.3806,               0.019231,              8.085e-05,              8.085e-05
                      2,                   1.62,                0.36497,                0.33216,                0.29883,                0.08409,                0.06445,                0.02707,                 1.4311,                0.46165,                0.26047,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.4242,                0.48418,                0.24649,                0.27041,                0.09849,                0.10554,                0.04829,                 1.3308,                0.51429,                0.23905,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.3318,                 0.5099,                 0.2128,                0.22784,                0.14464,                0.12368,                 0.0625,                 1.2259,                0.51878,                0.18631,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.2664,                0.51686,                0.18981,                0.25914,                0.17069,                 0.1497,                0.07977,                 1.1585,                0.52755,                0.17065,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.2258,                0.52005,                0.17722,                0.26583,                0.19299,                0.16033,                0.08626,                  1.111,                0.53426,                0.15864,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.1929,                0.52416,                0.16791,                0.29523,                0.20159,                0.17437,                0.09457,                  1.082,                0.53737,                0.15178,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.1706,                0.52257,                0.16097,                0.30988,                0.21792,                  0.192,                0.10505,                 1.0578,                0.53819,                0.14488,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.1482,                0.52234,                0.15666,                0.32204,                0.23134,                0.20079,                0.11029,                 1.0385,                0.53852,                0.14034,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.1307,                0.52109,                0.15141,                0.33205,                0.23864,                  0.207,                0.11393,                 1.0198,                0.53892,                0.13585,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.1223,                0.52002,                0.14865,                0.34105,                0.24011,                0.21099,                0.11624,                  1.013,                0.53911,                0.13465,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.0975,                0.52553,                0.14335,                0.34376,                0.24426,                0.21451,                0.11916,                 1.0057,                0.53998,                0.13319,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.0958,                0.52263,                 0.1411,                0.35108,                0.25033,                0.21971,                0.12254,                0.99892,                0.54026,                0.13156,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.0837,                0.52155,                0.14004,                 0.3531,                0.25717,                0.22557,                0.12578,                0.99524,                0.53986,                0.13074,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.0726,                0.52162,                0.13647,                0.36663,                0.25855,                0.22874,                0.12803,                0.98879,                0.54023,                0.12928,                 0.0001,                 0.0001,                 0.0001
                     16,                 1.0635,                0.52071,                0.13435,                0.36943,                0.26284,                0.23346,                0.13051,                0.98196,                0.54056,                0.12802,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.0478,                0.52462,                 0.1308,                 0.3669,                0.26652,                 0.2382,                0.13345,                0.97484,                0.54091,                0.12652,                 0.0001,                 0.0001,                 0.0001
                     18,                  1.051,                0.52184,                0.13158,                0.37804,                0.26928,                0.24347,                0.13677,                 0.9707,                 0.5403,                0.12585,                 0.0001,                 0.0001,                 0.0001
                     19,                 1.0413,                0.52302,                0.12972,                0.38761,                0.26844,                0.24769,                0.13928,                0.96365,                0.54143,                0.12404,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.0275,                0.52281,                0.12547,                0.39258,                0.27365,                0.25243,                0.14209,                 0.9567,                0.54116,                0.12238,                 0.0001,                 0.0001,                 0.0001
                     21,                 1.0187,                0.52357,                0.12457,                0.39966,                0.27856,                0.25879,                0.14585,                0.94909,                0.54192,                0.12083,                 0.0001,                 0.0001,                 0.0001
                     22,                 1.0215,                0.52126,                0.12446,                0.40391,                0.28082,                0.26316,                 0.1481,                0.94232,                0.54211,                0.11945,                 0.0001,                 0.0001,                 0.0001
                     23,                 1.0126,                0.52041,                0.12396,                0.41052,                0.28422,                0.26791,                0.15151,                0.93684,                0.54238,                0.11812,                 0.0001,                 0.0001,                 0.0001
                     24,                 1.0034,                 0.5221,                0.12021,                0.40897,                0.28938,                0.27369,                0.15451,                 0.9304,                0.54247,                0.11667,                 0.0001,                 0.0001,                 0.0001
                     25,                 1.0032,                0.51987,                0.12018,                0.40648,                0.29426,                0.27847,                0.15779,                0.92352,                0.54202,                 0.1152,                 0.0001,                 0.0001,                 0.0001
                     26,                0.99467,                 0.5206,                0.11747,                0.40719,                0.30136,                0.28339,                0.16073,                0.91687,                0.54206,                0.11376,                 0.0001,                 0.0001,                 0.0001
                     27,                0.99261,                0.51983,                0.11787,                0.42317,                0.30101,                  0.289,                0.16415,                 0.9114,                0.54263,                0.11284,                 0.0001,                 0.0001,                 0.0001
                     28,                0.98255,                0.51973,                0.11706,                0.43028,                0.30236,                0.29271,                0.16728,                0.90624,                0.54251,                0.11128,                 0.0001,                 0.0001,                 0.0001
                     29,                 0.9763,                0.52026,                0.11352,                0.42752,                0.30655,                0.29717,                0.17023,                0.90095,                0.54303,                 0.1101,                 0.0001,                 0.0001,                 0.0001
                     30,                0.97508,                0.51948,                0.11436,                0.43679,                0.31003,                0.30305,                 0.1736,                0.89567,                0.54308,                0.10922,                 0.0001,                 0.0001,                 0.0001
                     31,                0.96864,                0.52024,                0.11321,                 0.4445,                 0.3135,                0.30809,                0.17713,                0.89152,                0.54308,                0.10847,                 0.0001,                 0.0001,                 0.0001
                     32,                0.96355,                0.52031,                0.11226,                0.44049,                0.32028,                0.31134,                 0.1787,                0.88601,                0.54388,                 0.1073,                 0.0001,                 0.0001,                 0.0001
                     33,                0.95939,                0.51998,                0.10957,                0.44839,                0.32191,                0.31459,                0.18109,                0.88109,                0.54362,                0.10638,                 0.0001,                 0.0001,                 0.0001
                     34,                0.95389,                0.51957,                0.10947,                0.45043,                0.32473,                0.31815,                0.18328,                0.87677,                0.54303,                0.10541,                 0.0001,                 0.0001,                 0.0001
                     35,                0.94961,                0.51852,                0.10899,                0.44966,                0.32471,                0.31988,                 0.1845,                0.87204,                0.54355,                0.10431,                 0.0001,                 0.0001,                 0.0001
                     36,                0.94853,                0.51956,                0.10784,                0.45144,                0.32581,                0.32295,                  0.187,                 0.8686,                0.54321,                0.10327,                 0.0001,                 0.0001,                 0.0001
                     37,                 0.9485,                0.51614,                0.10882,                0.45615,                0.32848,                0.32522,                0.18829,                0.86358,                0.54368,                0.10201,                 0.0001,                 0.0001,                 0.0001
                     38,                0.94128,                0.51871,                0.10634,                0.46244,                0.33137,                 0.3277,                0.18984,                0.86074,                0.54275,                0.10118,                 0.0001,                 0.0001,                 0.0001
                     39,                0.94032,                0.51962,                0.10643,                0.46656,                0.33296,                0.33059,                0.19257,                0.85828,                0.54302,                0.10076,                 0.0001,                 0.0001,                 0.0001
                     40,                0.93455,                0.51886,                0.10551,                  0.474,                0.33053,                0.33273,                0.19393,                0.85526,                0.54251,                    0.1,                 0.0001,                 0.0001,                 0.0001
                     41,                0.92868,                0.51968,                0.10437,                0.47663,                0.33302,                0.33694,                0.19648,                0.85123,                0.54244,                0.09953,                 0.0001,                 0.0001,                 0.0001
                     42,                 0.9384,                0.51503,                0.10651,                0.47543,                0.33756,                0.33756,                  0.197,                0.84949,                0.54171,                0.09926,                 0.0001,                 0.0001,                 0.0001
                     43,                0.92579,                0.51641,                 0.1039,                0.47583,                0.34172,                0.34081,                 0.1996,                0.84666,                0.54174,                0.09894,                 0.0001,                 0.0001,                 0.0001
                     44,                0.92365,                0.51398,                 0.1029,                0.48361,                0.34131,                0.34255,                0.20115,                0.84212,                0.54187,                0.09804,                 0.0001,                 0.0001,                 0.0001
                     45,                0.93283,                0.51351,                0.10583,                0.48383,                0.34389,                0.34542,                 0.2026,                0.83978,                0.54068,                 0.0976,                 0.0001,                 0.0001,                 0.0001
                     46,                0.92765,                0.51373,                0.10416,                0.48543,                0.34623,                0.34806,                0.20445,                 0.8369,                 0.5408,                0.09679,                 0.0001,                 0.0001,                 0.0001
                     47,                0.92947,                0.51387,                 0.1047,                0.49231,                0.34487,                0.34936,                0.20488,                0.83379,                0.54122,                0.09604,                 0.0001,                 0.0001,                 0.0001
                     48,                0.90954,                0.51976,                0.10141,                0.49203,                0.34567,                0.35092,                0.20608,                0.82985,                0.54201,                0.09558,                 0.0001,                 0.0001,                 0.0001
                     49,                0.91522,                0.51577,                0.10051,                0.49417,                0.34675,                0.35235,                0.20712,                0.82799,                0.54266,                0.09514,                 0.0001,                 0.0001,                 0.0001
                     50,                0.91166,                0.51597,                0.10114,                0.49138,                0.34917,                 0.3546,                0.20891,                0.82539,                0.54279,                0.09489,                 0.0001,                 0.0001,                 0.0001
                     51,                0.90608,                 0.5161,                0.09888,                0.49611,                0.35012,                0.35687,                0.21058,                0.82218,                0.54298,                0.09431,                 0.0001,                 0.0001,                 0.0001
                     52,                0.90657,                0.51438,                  0.099,                0.49809,                0.35442,                0.35866,                0.21152,                0.82024,                0.54243,                0.09403,                 0.0001,                 0.0001,                 0.0001
                     53,                0.90688,                0.51413,                0.09986,                0.50086,                0.35387,                0.35872,                0.21167,                0.81824,                 0.5425,                0.09359,                 0.0001,                 0.0001,                 0.0001
                     54,                0.90507,                0.51311,                0.09802,                0.50662,                0.35462,                0.36151,                0.21318,                0.81575,                0.54283,                0.09274,                 0.0001,                 0.0001,                 0.0001
                     55,                0.90363,                0.51219,                0.09839,                0.50642,                0.35556,                0.36236,                0.21396,                0.81414,                0.54251,                0.09223,                 0.0001,                 0.0001,                 0.0001
                     56,                0.89401,                0.51412,                0.09547,                0.50871,                 0.3565,                0.36387,                0.21451,                0.81248,                0.54224,                0.09207,                 0.0001,                 0.0001,                 0.0001
                     57,                0.89523,                0.51295,                0.09683,                0.50964,                 0.3583,                0.36517,                0.21547,                0.81012,                0.54241,                0.09169,                 0.0001,                 0.0001,                 0.0001
                     58,                0.89131,                  0.515,                0.09562,                0.50826,                0.35821,                 0.3661,                0.21626,                0.80931,                0.54225,                0.09148,                 0.0001,                 0.0001,                 0.0001
                     59,                0.89009,                0.51324,                0.09582,                0.51046,                0.36111,                0.36972,                 0.2185,                0.80672,                 0.5421,                0.09094,                 0.0001,                 0.0001,                 0.0001
                     60,                0.88428,                0.51339,                0.09457,                0.51607,                0.36423,                0.37221,                0.22066,                0.80418,                0.54205,                0.09042,                 0.0001,                 0.0001,                 0.0001
                     61,                0.88462,                0.51192,                0.09631,                 0.5155,                0.36424,                0.37156,                0.21999,                0.80307,                0.54124,                0.09016,                 0.0001,                 0.0001,                 0.0001
                     62,                0.88656,                0.51318,                0.09502,                0.52211,                0.36352,                0.37303,                0.22095,                 0.8019,                0.54126,                0.08991,                 0.0001,                 0.0001,                 0.0001
                     63,                0.87931,                0.51183,                0.09413,                 0.5221,                0.36443,                0.37401,                 0.2216,                0.79884,                0.54125,                0.08943,                 0.0001,                 0.0001,                 0.0001
                     64,                0.87996,                0.51208,                 0.0936,                0.52443,                0.36615,                0.37536,                0.22248,                0.79588,                0.54185,                0.08854,                 0.0001,                 0.0001,                 0.0001
                     65,                0.87547,                0.51184,                0.09316,                0.52634,                0.36669,                0.37686,                0.22368,                0.79374,                0.54203,                0.08818,                 0.0001,                 0.0001,                 0.0001
                     66,                0.86993,                0.51215,                0.09182,                0.52935,                0.36752,                0.37735,                0.22393,                0.79119,                0.54227,                0.08766,                 0.0001,                 0.0001,                 0.0001
                     67,                0.87314,                0.51209,                0.09217,                0.52758,                0.37021,                0.37959,                0.22542,                0.78953,                0.54261,                0.08709,                 0.0001,                 0.0001,                 0.0001
                     68,                 0.8696,                0.50914,                0.09175,                0.52996,                0.36971,                0.38102,                0.22638,                0.78723,                0.54289,                0.08647,                 0.0001,                 0.0001,                 0.0001
                     69,                 0.8674,                0.51163,                0.09233,                0.53415,                0.37246,                0.38257,                0.22778,                0.78783,                0.54198,                0.08677,                 0.0001,                 0.0001,                 0.0001
                     70,                0.86855,                0.51076,                0.09173,                0.53465,                0.37155,                0.38314,                0.22749,                0.78611,                0.54203,                0.08644,                 0.0001,                 0.0001,                 0.0001
                     71,                0.86781,                0.50942,                0.09267,                0.53384,                0.37219,                0.38534,                0.22854,                0.78406,                0.54145,                0.08628,                 0.0001,                 0.0001,                 0.0001
                     72,                0.86268,                0.51128,                0.09183,                0.53957,                0.37217,                0.38773,                0.23027,                0.78131,                0.54173,                0.08602,                 0.0001,                 0.0001,                 0.0001
                     73,                0.86133,                0.51083,                0.09088,                0.53361,                0.37367,                0.38776,                0.23038,                0.78019,                 0.5419,                0.08608,                 0.0001,                 0.0001,                 0.0001
                     74,                0.86108,                0.50944,                0.09109,                0.54093,                0.37085,                0.38826,                0.23044,                0.77892,                0.54211,                0.08567,                 0.0001,                 0.0001,                 0.0001
                     75,                0.85825,                0.51044,                0.08993,                0.53609,                 0.3767,                 0.3901,                0.23182,                0.77751,                 0.5422,                0.08563,                 0.0001,                 0.0001,                 0.0001
                     76,                0.85304,                 0.5095,                0.08956,                0.53894,                0.37678,                0.39099,                0.23239,                0.77687,                0.54233,                0.08542,                 0.0001,                 0.0001,                 0.0001
                     77,                0.85592,                0.50874,                0.08987,                0.54633,                0.37818,                0.39258,                0.23318,                0.77535,                0.54275,                0.08532,                 0.0001,                 0.0001,                 0.0001
                     78,                0.85928,                 0.5066,                0.09012,                0.54494,                0.37917,                0.39341,                0.23329,                0.77463,                0.54192,                 0.0851,                 0.0001,                 0.0001,                 0.0001
                     79,                0.85615,                0.50792,                0.08942,                0.54803,                0.37846,                 0.3936,                 0.2336,                0.77215,                0.54251,                0.08465,                 0.0001,                 0.0001,                 0.0001
                     80,                0.85376,                0.50858,                0.08978,                0.55053,                0.37942,                0.39437,                0.23462,                0.77039,                0.54269,                0.08466,                 0.0001,                 0.0001,                 0.0001
                     81,                0.85245,                0.50744,                0.08893,                0.54183,                0.38332,                0.39481,                0.23493,                   0.77,                 0.5431,                0.08446,                 0.0001,                 0.0001,                 0.0001
                     82,                0.85091,                0.50814,                0.08916,                0.54335,                0.38257,                0.39647,                0.23546,                 0.7681,                0.54279,                0.08429,                 0.0001,                 0.0001,                 0.0001
                     83,                0.84706,                0.50874,                0.08839,                0.55494,                0.38287,                0.39755,                0.23619,                0.76743,                0.54196,                0.08401,                 0.0001,                 0.0001,                 0.0001
                     84,                0.84724,                0.50676,                0.08807,                0.55777,                0.38246,                0.39761,                0.23628,                0.76648,                0.54194,                0.08381,                 0.0001,                 0.0001,                 0.0001
                     85,                0.84779,                 0.5063,                0.08829,                0.56373,                0.38269,                0.39901,                 0.2371,                0.76474,                0.54143,                0.08341,                 0.0001,                 0.0001,                 0.0001
                     86,                0.84527,                0.50649,                0.08791,                0.56266,                0.38538,                0.39946,                0.23708,                0.76303,                 0.5414,                0.08332,                 0.0001,                 0.0001,                 0.0001
                     87,                0.84011,                0.50742,                0.08677,                0.56192,                0.38309,                0.39869,                 0.2373,                0.76275,                0.54097,                0.08315,                 0.0001,                 0.0001,                 0.0001
                     88,                 0.8504,                0.50599,                 0.0882,                0.55792,                0.38541,                0.39809,                0.23734,                0.76102,                0.54166,                0.08281,                 0.0001,                 0.0001,                 0.0001
                     89,                 0.8417,                0.50829,                 0.0882,                0.56046,                0.38688,                0.39923,                0.23774,                0.76065,                0.54148,                0.08272,                 0.0001,                 0.0001,                 0.0001
                     90,                0.83458,                0.50815,                0.08591,                0.56889,                0.38369,                0.39976,                0.23801,                0.75977,                0.54148,                0.08285,                 0.0001,                 0.0001,                 0.0001
                     91,                0.83643,                0.50677,                0.08675,                0.56422,                0.38797,                0.40207,                0.23958,                0.75829,                0.54207,                0.08248,                 0.0001,                 0.0001,                 0.0001
                     92,                0.83691,                  0.506,                0.08663,                0.56345,                0.38874,                0.40169,                0.23953,                0.75715,                0.54178,                0.08251,                 0.0001,                 0.0001,                 0.0001
                     93,                0.84171,                0.50666,                0.08601,                0.57016,                0.38673,                0.40175,                0.23906,                 0.7564,                0.54155,                0.08219,                 0.0001,                 0.0001,                 0.0001
                     94,                0.83469,                 0.5059,                0.08541,                  0.569,                0.38994,                0.40403,                0.24014,                0.75586,                0.54206,                0.08239,                 0.0001,                 0.0001,                 0.0001
                     95,                0.83447,                0.50555,                 0.0848,                0.57139,                0.38816,                0.40519,                 0.2404,                0.75484,                0.54268,                0.08187,                 0.0001,                 0.0001,                 0.0001
                     96,                0.83283,                0.50557,                0.08509,                0.57067,                 0.3908,                0.40712,                0.24189,                0.75404,                0.54192,                0.08177,                 0.0001,                 0.0001,                 0.0001
                     97,                0.83074,                 0.5044,                0.08492,                0.56405,                 0.3967,                  0.409,                0.24265,                0.75287,                0.54144,                0.08121,                 0.0001,                 0.0001,                 0.0001
                     98,                0.83037,                0.50396,                0.08439,                0.56946,                0.39698,                0.41001,                0.24344,                0.75164,                0.54172,                0.08121,                 0.0001,                 0.0001,                 0.0001
                     99,                0.83298,                0.50362,                0.08525,                0.57262,                0.39871,                0.41194,                 0.2444,                0.75034,                0.54234,                0.08093,                 0.0001,                 0.0001,                 0.0001
                    100,                0.83397,                0.50406,                0.08557,                0.56722,                0.40078,                0.41296,                0.24507,                0.74938,                0.54209,                0.08059,                 0.0001,                 0.0001,                 0.0001
                    101,                0.82687,                0.50516,                0.08437,                0.56853,                0.40064,                0.41245,                0.24465,                0.74893,                0.54163,                0.08034,                 0.0001,                 0.0001,                 0.0001
                    102,                0.82952,                0.50448,                0.08416,                0.56774,                0.40125,                0.41288,                0.24548,                0.74929,                0.54112,                0.08042,                 0.0001,                 0.0001,                 0.0001
                    103,                0.82054,                0.50553,                 0.0837,                0.56671,                0.40212,                0.41357,                0.24558,                0.74867,                0.54123,                0.08034,                 0.0001,                 0.0001,                 0.0001
                    104,                 0.8222,                0.50314,                0.08277,                0.57131,                0.40262,                0.41429,                0.24676,                0.74824,                 0.5413,                0.08021,                 0.0001,                 0.0001,                 0.0001
                    105,                0.81652,                0.50505,                 0.0828,                0.57136,                0.40357,                0.41503,                0.24712,                0.74636,                 0.5418,                0.07984,                 0.0001,                 0.0001,                 0.0001
                    106,                0.81848,                0.50338,                 0.0836,                0.57594,                0.40223,                0.41662,                0.24783,                0.74605,                0.54164,                0.08012,                 0.0001,                 0.0001,                 0.0001
                    107,                0.82604,                 0.5024,                0.08387,                0.57092,                0.40367,                0.41726,                0.24745,                0.74533,                0.54206,                0.07984,                 0.0001,                 0.0001,                 0.0001
                    108,                0.82471,                0.50325,                 0.0841,                0.57856,                0.40178,                0.41708,                0.24772,                0.74466,                0.54192,                0.07969,                 0.0001,                 0.0001,                 0.0001
                    109,                0.81899,                0.50187,                0.08317,                0.57688,                0.40435,                0.41775,                0.24774,                0.74365,                0.54186,                0.07974,                 0.0001,                 0.0001,                 0.0001
                    110,                0.81743,                0.50274,                0.08353,                 0.5758,                0.40433,                0.41705,                 0.2477,                0.74295,                0.54182,                0.07973,                 0.0001,                 0.0001,                 0.0001
                    111,                0.81951,                0.50281,                0.08285,                 0.5777,                0.40394,                0.41679,                0.24772,                0.74319,                0.54218,                0.08015,                 0.0001,                 0.0001,                 0.0001
                    112,                0.81685,                0.50177,                0.08246,                0.57414,                0.40443,                0.41777,                0.24867,                 0.7419,                0.54259,                0.07994,                 0.0001,                 0.0001,                 0.0001
